label,timestamp,x,y,z
falling_back_hand,0.000,-0.514,3.440,9.831
falling_back_hand,0.020,-0.423,3.623,9.375
falling_back_hand,0.040,-0.357,3.399,8.980
falling_back_hand,0.060,0.321,3.406,9.123
falling_back_hand,0.081,1.682,3.718,8.919
falling_back_hand,0.101,3.231,4.096,8.359
falling_back_hand,0.121,4.682,3.646,9.130
falling_back_hand,0.141,3.292,1.589,9.235
falling_back_hand,0.161,2.790,2.959,8.960
falling_back_hand,0.180,1.705,3.748,7.050
falling_back_hand,0.201,-0.303,3.950,5.268
falling_back_hand,0.222,-1.410,3.910,4.891
falling_back_hand,0.242,-1.018,6.400,5.649
falling_back_hand,0.262,0.432,6.884,7.036
falling_back_hand,0.282,2.919,4.753,8.312
falling_back_hand,0.302,3.426,3.769,10.740
falling_back_hand,0.322,3.303,4.040,12.144
falling_back_hand,0.343,3.010,4.615,11.744
falling_back_hand,0.363,2.185,4.243,10.600
falling_back_hand,0.383,1.232,3.827,9.455
falling_back_hand,0.403,0.875,3.828,8.799
falling_back_hand,0.423,1.180,3.910,8.493
falling_back_hand,0.443,1.528,3.997,8.403
falling_back_hand,0.463,1.856,4.113,8.325
falling_back_hand,0.484,1.755,4.029,8.068
falling_back_hand,0.504,1.463,3.882,8.298
falling_back_hand,0.524,1.227,3.677,8.559
falling_back_hand,0.544,1.077,3.491,8.936
falling_back_hand,0.564,1.101,3.416,9.231
falling_back_hand,0.584,1.152,3.378,9.142
falling_back_hand,0.605,1.529,3.561,9.489
falling_back_hand,0.625,1.810,3.440,9.447
falling_back_hand,0.645,1.593,3.290,9.370
falling_back_hand,0.665,1.093,3.336,8.869
falling_back_hand,0.685,0.476,3.265,8.265
falling_back_hand,0.705,0.387,3.240,8.167
falling_back_hand,0.725,0.729,3.188,8.341
falling_back_hand,0.746,1.094,3.137,8.565
falling_back_hand,0.766,1.280,2.963,8.796
falling_back_hand,0.786,1.106,2.722,9.387
falling_back_hand,0.806,0.939,2.574,9.783
falling_back_hand,0.826,0.911,2.425,9.720
falling_back_hand,0.846,0.990,2.516,9.646
falling_back_hand,0.866,1.225,2.600,9.441
falling_back_hand,0.887,1.381,2.577,9.018
falling_back_hand,0.907,1.296,2.594,8.500
falling_back_hand,0.927,1.219,2.754,7.854
falling_back_hand,0.947,1.069,2.838,7.503
falling_back_hand,0.967,1.397,2.880,7.391
falling_back_hand,0.987,2.041,2.925,7.038
falling_back_hand,1.008,1.780,2.528,6.384
falling_back_hand,1.028,0.494,2.015,6.114
falling_back_hand,1.048,0.087,2.165,5.875
falling_back_hand,1.068,0.488,2.886,5.415
falling_back_hand,1.088,0.462,2.509,5.119
falling_back_hand,1.108,-0.593,0.478,5.021
falling_back_hand,1.128,1.215,-0.129,5.215
falling_back_hand,1.149,4.389,1.866,5.049
falling_back_hand,1.169,0.924,2.171,6.470
falling_back_hand,1.189,-4.258,2.117,6.071
falling_back_hand,1.209,-2.680,2.436,4.320
falling_back_hand,1.229,2.072,2.890,6.531
falling_back_hand,1.249,3.636,3.858,9.362
falling_back_hand,1.269,2.100,3.964,10.971
falling_back_hand,1.290,-0.215,4.008,8.295
falling_back_hand,1.310,1.274,4.836,6.716
falling_back_hand,1.330,5.327,6.809,8.483
falling_back_hand,1.350,5.418,7.200,11.103
falling_back_hand,1.370,2.301,4.967,11.255
falling_back_hand,1.390,1.115,2.295,11.099
falling_back_hand,1.411,1.976,1.952,11.693
falling_back_hand,1.431,3.541,2.635,11.542
falling_back_hand,1.451,3.917,2.693,10.402
falling_back_hand,1.471,4.028,3.309,9.743
falling_back_hand,1.491,5.351,2.639,7.594
falling_back_hand,1.511,7.641,2.698,6.674
falling_back_hand,1.531,8.861,2.113,9.115
falling_back_hand,1.552,6.410,0.872,10.633
falling_back_hand,1.572,10.393,4.102,10.198
falling_back_hand,1.592,14.855,6.639,7.456
falling_back_hand,1.612,19.491,5.786,-4.242
falling_back_hand,1.632,21.247,5.330,-10.700
falling_back_hand,1.652,18.360,0.615,1.311
falling_back_hand,1.673,16.032,-3.965,13.399
falling_back_hand,1.693,20.733,-3.044,5.451
falling_back_hand,1.713,18.464,-0.464,-9.642
falling_back_hand,1.733,16.750,0.791,-17.463
falling_back_hand,1.753,7.123,-3.295,-13.773
falling_back_hand,1.773,-3.134,-6.567,-1.350
falling_back_hand,1.793,-0.443,-4.976,8.052
falling_back_hand,1.814,5.844,-4.605,8.154
falling_back_hand,1.834,5.596,-5.236,-0.388
falling_back_hand,1.854,2.120,-8.046,-8.846
falling_back_hand,1.874,1.932,-8.767,-12.680
falling_back_hand,1.894,4.554,-8.868,-11.775
falling_back_hand,1.914,12.802,-8.229,-3.421
falling_back_hand,1.934,17.802,-6.401,-1.789
falling_back_hand,1.955,10.436,-7.038,-15.084
falling_back_hand,1.975,3.361,-8.220,-21.845
falling_back_hand,1.995,-1.341,-8.546,-19.179
falling_back_hand,2.015,-8.442,-9.746,-15.066
falling_back_hand,2.035,-10.317,-9.892,-7.998
