timestamp,x,y,z
0.000,0.321,1.822,9.458
0.019,0.328,1.829,9.357
0.038,0.316,1.769,9.716
0.058,0.309,1.661,10.049
0.077,0.287,1.554,10.164
0.096,0.347,1.484,10.233
0.116,0.378,1.446,10.214
0.135,-0.066,1.561,9.762
0.155,-0.258,1.743,9.228
0.174,0.060,1.831,9.058
0.193,0.340,1.781,9.259
0.213,0.129,1.594,9.802
0.232,-0.061,1.592,10.020
0.251,0.052,1.539,9.798
0.271,0.213,1.602,9.853
0.290,0.412,1.621,10.030
0.310,0.277,1.599,9.924
0.329,0.206,1.628,9.920
0.348,0.380,1.611,10.023
0.368,0.409,1.573,10.126
0.387,0.287,1.549,10.116
0.406,0.400,1.546,9.812
0.426,0.524,1.611,9.719
0.445,0.517,1.700,9.771
0.464,0.527,1.728,9.675
0.484,0.574,1.781,9.510
0.503,0.704,1.913,9.292
0.523,0.831,2.052,9.266
0.542,0.993,2.049,9.474
0.561,0.914,2.044,9.582
0.581,0.831,2.066,9.422
0.600,0.780,2.097,9.608
0.619,0.955,2.250,9.922
0.639,1.240,2.420,9.743
0.658,1.195,2.653,9.173
0.677,1.211,2.851,8.756
0.697,1.355,2.818,8.814
0.716,1.221,2.662,9.252
0.736,1.214,2.511,9.687
0.755,0.929,2.339,9.678
0.774,0.270,2.413,8.955
0.794,-0.318,2.344,8.586
0.813,-0.581,2.226,8.689
0.832,-0.538,2.119,9.312
0.852,0.414,2.049,10.114
0.871,1.429,1.913,10.698
0.890,1.542,1.930,10.549
0.910,0.886,1.985,9.891
0.929,0.383,2.246,8.986
0.949,0.598,2.361,8.591
0.968,0.823,2.392,9.089
0.987,0.811,2.236,9.838
1.007,0.723,2.140,9.956
1.026,0.553,2.250,9.484
1.045,0.316,2.399,8.658
1.065,0.127,2.444,8.406
1.084,0.268,2.382,8.478
1.104,0.119,2.428,8.615
1.123,0.203,2.456,8.828
1.142,0.507,2.432,8.936
1.162,0.505,2.485,8.962
1.181,0.263,2.538,7.980
1.200,-0.358,2.775,6.982
1.220,-0.370,2.753,7.245
1.239,-0.026,2.703,8.196
1.258,0.045,2.739,8.572
1.278,-0.066,2.847,8.124
1.297,-0.203,3.091,6.893
1.317,-0.373,3.115,6.244
1.336,-0.516,2.839,6.479
1.355,0.057,2.653,7.585
1.375,1.420,2.542,8.708
1.394,1.980,2.722,8.802
1.413,1.262,2.871,8.064
1.433,0.589,2.509,7.444
1.452,0.878,1.934,6.709
1.471,0.574,1.580,6.778
1.491,-0.253,0.876,7.221
1.510,-2.398,-0.018,8.916
1.530,-1.723,-0.085,9.252
1.549,2.655,0.572,7.324
1.568,6.761,0.172,4.755
1.588,6.476,0.309,4.571
1.607,2.600,0.989,5.648
1.626,0.436,2.277,7.669
1.646,3.120,0.493,7.892
1.665,8.978,0.127,5.380
1.684,12.079,0.888,1.078
1.704,1.293,2.662,1.147
1.723,-1.855,2.981,5.888
