label,timestamp,x,y,z
falling_back_pocket,0.000,3.476,-8.682,1.788
falling_back_pocket,0.020,3.638,-8.889,2.076
falling_back_pocket,0.040,3.695,-8.992,2.088
falling_back_pocket,0.060,4.093,-8.845,1.870
falling_back_pocket,0.081,4.490,-8.628,1.581
falling_back_pocket,0.101,4.602,-8.650,1.246
falling_back_pocket,0.121,4.365,-8.705,0.898
falling_back_pocket,0.141,4.107,-8.680,0.998
falling_back_pocket,0.161,4.026,-8.676,1.572
falling_back_pocket,0.181,4.100,-8.717,2.179
falling_back_pocket,0.201,4.249,-8.635,2.374
falling_back_pocket,0.222,4.521,-8.554,2.175
falling_back_pocket,0.254,4.705,-8.470,1.890
falling_back_pocket,0.275,4.647,-8.461,1.866
falling_back_pocket,0.294,4.566,-8.585,1.875
falling_back_pocket,0.314,4.532,-8.729,1.827
falling_back_pocket,0.334,4.547,-8.772,1.712
falling_back_pocket,0.354,4.551,-8.777,1.578
falling_back_pocket,0.373,4.494,-8.858,1.526
falling_back_pocket,0.393,4.475,-8.992,1.559
falling_back_pocket,0.413,4.470,-8.992,1.545
falling_back_pocket,0.433,4.470,-8.800,1.449
falling_back_pocket,0.454,4.542,-8.781,1.353
falling_back_pocket,0.474,4.652,-8.915,1.320
falling_back_pocket,0.493,4.776,-8.872,1.253
falling_back_pocket,0.515,4.992,-8.705,1.085
falling_back_pocket,0.535,5.212,-8.322,0.851
falling_back_pocket,0.556,5.121,-7.584,0.702
falling_back_pocket,0.576,4.752,-6.976,0.898
falling_back_pocket,0.596,4.326,-7.086,1.286
falling_back_pocket,0.617,3.819,-7.761,1.554
falling_back_pocket,0.637,3.565,-8.293,1.875
falling_back_pocket,0.657,3.924,-8.235,2.234
falling_back_pocket,0.678,4.480,-7.517,2.167
falling_back_pocket,0.698,6.361,-5.947,-2.377
falling_back_pocket,0.718,8.827,-4.965,-6.481
falling_back_pocket,0.738,8.444,-6.205,-1.079
falling_back_pocket,0.758,6.419,-7.627,4.059
falling_back_pocket,0.778,4.963,-7.560,-0.710
falling_back_pocket,0.798,4.968,-6.665,-4.742
falling_back_pocket,0.819,6.266,-5.875,-2.109
falling_back_pocket,0.839,6.864,-5.343,0.333
falling_back_pocket,0.859,6.653,-4.319,-0.342
falling_back_pocket,0.879,7.515,-3.212,-3.148
falling_back_pocket,0.899,8.109,-3.639,-2.947
falling_back_pocket,0.919,8.229,-5.018,-1.778
falling_back_pocket,0.939,9.780,-5.693,-3.291
falling_back_pocket,0.960,10.274,-5.008,-3.555
falling_back_pocket,0.980,8.636,-3.557,-3.153
falling_back_pocket,1.000,7.894,-2.528,-3.713
falling_back_pocket,1.020,8.195,-2.604,-4.675
falling_back_pocket,1.040,7.894,-3.505,-5.499
falling_back_pocket,1.060,7.286,-3.840,-5.734
falling_back_pocket,1.081,7.022,-3.581,-5.633
falling_back_pocket,1.101,8.344,-2.825,-5.963
falling_back_pocket,1.121,9.019,-1.565,-6.131
falling_back_pocket,1.141,8.693,-0.943,-6.040
falling_back_pocket,1.161,8.736,-1.383,-5.844
falling_back_pocket,1.181,7.377,-1.211,-5.073
falling_back_pocket,1.201,5.409,0.743,-4.421
falling_back_pocket,1.222,5.021,3.386,-3.675
falling_back_pocket,1.242,5.614,4.760,-1.529
falling_back_pocket,1.262,6.591,6.005,-1.213
falling_back_pocket,1.282,12.084,8.208,-4.283
falling_back_pocket,1.302,13.032,8.174,-4.493
falling_back_pocket,1.322,6.673,5.632,-3.560
falling_back_pocket,1.342,-0.304,7.308,-3.775
falling_back_pocket,1.363,-11.107,17.033,-1.778
falling_back_pocket,1.383,-15.589,20.567,1.574
falling_back_pocket,1.403,-7.353,11.996,2.886
falling_back_pocket,1.423,3.278,4.267,2.153
falling_back_pocket,1.443,9.598,2.031,1.779
falling_back_pocket,1.463,12.313,3.482,1.138
falling_back_pocket,1.484,11.935,5.570,0.501
falling_back_pocket,1.504,9.450,6.264,0.927
falling_back_pocket,1.524,7.175,6.987,0.439
falling_back_pocket,1.544,6.448,7.418,0.530
falling_back_pocket,1.564,6.337,6.331,2.321
falling_back_pocket,1.584,6.721,4.224,1.971
falling_back_pocket,1.604,11.868,-0.009,-12.198
falling_back_pocket,1.625,17.408,-2.997,-28.158
falling_back_pocket,1.645,16.077,-4.414,-21.119
falling_back_pocket,1.665,9.756,-7.005,-12.576
falling_back_pocket,1.685,4.245,-6.392,-11.738
falling_back_pocket,1.705,2.315,-1.771,-5.427
falling_back_pocket,1.725,2.478,1.648,1.411
falling_back_pocket,1.746,4.063,2.716,6.060
falling_back_pocket,1.766,5.863,3.884,9.944
falling_back_pocket,1.786,7.118,4.286,10.150
falling_back_pocket,1.806,7.496,2.175,4.902
falling_back_pocket,1.826,7.113,-1.249,-2.243
