timestamp,x,y,z
0.000,-3.643,-8.762,-0.430
0.019,-4.575,-8.245,0.709
0.038,-4.685,-8.358,0.139
0.058,-4.261,-8.528,-0.356
0.077,-4.429,-8.482,0.220
0.096,-4.527,-8.676,0.187
0.116,-4.419,-8.619,-0.126
0.135,-4.481,-8.683,0.117
0.155,-4.618,-8.779,0.182
0.174,-4.580,-8.822,-0.030
0.193,-4.398,-8.693,0.185
0.213,-4.175,-8.437,0.127
0.232,-4.105,-8.269,0.017
0.252,-4.292,-8.283,-0.059
0.271,-4.455,-8.525,-0.138
0.290,-4.570,-8.803,0.089
0.310,-4.580,-8.870,0.125
0.329,-4.340,-8.712,0.017
0.349,-4.149,-8.451,0.201
0.368,-4.225,-8.468,0.405
0.387,-4.424,-8.667,0.680
0.407,-4.618,-8.765,0.659
0.426,-4.601,-8.702,0.393
0.445,-4.589,-8.492,0.139
0.465,-4.709,-8.298,-0.083
0.484,-4.814,-8.209,-0.511
0.504,-4.850,-8.360,-0.226
0.523,-4.912,-8.523,-0.121
0.542,-4.685,-8.609,-0.188
0.562,-4.347,-8.664,0.003
0.581,-4.292,-8.547,-0.102
0.601,-4.393,-8.434,-0.217
0.620,-4.424,-8.461,-0.241
0.639,-4.311,-8.674,-0.322
0.659,-4.395,-8.592,-0.384
0.678,-4.489,-8.367,-0.351
0.697,-4.501,-8.252,-0.435
0.717,-4.453,-8.200,-0.538
0.736,-4.498,-8.171,-0.439
0.756,-4.541,-8.056,-0.459
0.775,-4.493,-7.860,-0.530
0.794,-4.441,-7.601,-0.329
0.814,-4.331,-7.496,-0.210
0.833,-4.122,-7.675,-0.107
0.853,-4.043,-7.800,0.067
0.872,-3.986,-7.685,0.072
0.891,-3.859,-7.316,0.256
0.911,-4.050,-6.921,0.671
0.930,-4.201,-6.895,0.501
0.950,-4.103,-7.019,0.881
0.969,-4.029,-7.192,1.283
0.988,-3.806,-7.718,0.903
1.008,-3.600,-8.274,1.068
1.027,-3.701,-8.408,1.106
1.046,-3.904,-8.214,0.893
1.066,-3.780,-7.745,0.900
1.085,-3.730,-7.084,1.204
1.105,-3.368,-7.003,0.776
1.124,-2.602,-7.290,1.152
1.143,-2.420,-6.971,1.384
1.163,-2.875,-6.133,0.802
1.182,-3.136,-5.686,1.509
1.202,-2.939,-6.133,1.516
1.221,-2.880,-6.332,1.094
1.240,-2.904,-5.698,1.080
1.260,-3.011,-4.747,1.269
1.279,-2.681,-4.603,0.706
1.298,-1.874,-6.071,-0.095
1.318,-1.745,-7.448,-0.808
1.337,-2.310,-7.754,2.730
1.357,-5.303,-7.290,5.287
1.376,-6.050,-7.460,4.705
1.395,-4.845,-7.833,1.861
1.415,-3.763,-7.429,2.974
1.434,-4.410,-6.564,5.536
1.454,-4.127,-6.765,6.362
1.473,-2.817,-7.747,6.197
1.492,-3.320,-7.522,5.356
1.512,-4.220,-6.986,5.706
1.531,-3.919,-6.595,5.469
1.551,-2.305,-6.370,5.215
1.570,-2.473,-5.702,5.598
1.589,-0.761,-6.196,8.802
1.609,6.601,-8.784,10.427
1.628,7.578,-9.339,9.740
1.647,1.410,-6.756,7.269
