label,timestamp,x,y,z
falling_forwad_hand,0.000,-1.826,2.519,9.521
falling_forwad_hand,0.100,-1.068,3.178,9.795
falling_forwad_hand,0.199,-0.208,3.679,9.124
falling_forwad_hand,0.298,-0.114,4.253,8.043
falling_forwad_hand,0.397,0.410,5.017,7.758
falling_forwad_hand,0.496,0.385,5.160,7.856
falling_forwad_hand,0.595,0.383,5.271,8.365
falling_forwad_hand,0.695,1.150,3.380,10.388
falling_forwad_hand,0.794,1.324,3.049,9.055
falling_forwad_hand,0.893,1.365,3.188,9.612
falling_forwad_hand,0.993,0.668,4.458,7.993
falling_forwad_hand,1.092,-0.730,4.310,9.172
falling_forwad_hand,1.191,-1.929,4.140,10.266
falling_forwad_hand,1.290,-0.392,3.894,10.278
falling_forwad_hand,1.390,-0.792,3.066,7.622
falling_forwad_hand,1.489,0.518,3.091,8.387
falling_forwad_hand,1.588,1.275,3.471,8.582
falling_forwad_hand,1.687,1.832,3.507,8.922
falling_forwad_hand,1.787,2.404,3.940,8.728
falling_forwad_hand,1.886,0.510,2.486,10.425
falling_forwad_hand,1.985,1.039,2.895,9.986
falling_forwad_hand,2.084,0.718,2.814,9.112
falling_forwad_hand,2.184,1.133,2.908,9.501
falling_forwad_hand,2.283,2.477,3.666,8.968
falling_forwad_hand,2.382,1.389,4.400,7.536
falling_forwad_hand,2.481,1.767,4.544,9.005
falling_forwad_hand,2.581,2.280,4.746,8.770
falling_forwad_hand,2.680,1.612,4.430,7.923
falling_forwad_hand,2.779,2.261,3.246,7.537
falling_forwad_hand,2.878,4.819,3.929,9.283
falling_forwad_hand,2.977,2.797,2.960,9.751
falling_forwad_hand,3.077,5.653,7.424,22.425
falling_forwad_hand,3.176,7.098,-0.724,10.820
falling_forwad_hand,3.275,3.034,-4.529,-0.209
falling_forwad_hand,3.374,8.139,-3.747,5.567
falling_forwad_hand,3.474,-1.923,-9.995,-5.272
falling_forwad_hand,3.573,2.657,4.984,-1.843
falling_forwad_hand,3.672,22.367,14.212,11.228
falling_forwad_hand,3.771,15.147,11.662,3.703
falling_forwad_hand,3.871,2.201,0.288,-11.455
falling_forwad_hand,3.970,-6.300,-6.257,-10.809
falling_forwad_hand,4.069,-5.579,-10.107,-9.887
falling_forwad_hand,4.168,-0.930,-5.585,-10.193
falling_forwad_hand,4.268,0.707,0.479,-8.920
falling_forwad_hand,4.367,-2.012,-2.669,-10.530
falling_forwad_hand,4.466,1.163,-3.812,-13.059
falling_forwad_hand,4.565,0.717,-4.707,-8.972
falling_forwad_hand,4.665,-0.386,-5.959,-11.173
falling_forwad_hand,4.764,-4.901,-0.930,-8.542
falling_forwad_hand,4.863,-2.201,1.781,-9.596
falling_forwad_hand,4.962,-2.158,2.501,-6.647
falling_forwad_hand,5.062,-2.448,4.257,-6.184
falling_forwad_hand,5.161,-4.738,5.405,-4.896
falling_forwad_hand,5.260,-7.495,5.475,-5.100
falling_forwad_hand,5.359,-9.528,5.435,-2.984
falling_forwad_hand,5.458,-8.358,3.668,-3.124
falling_forwad_hand,5.558,-8.464,4.832,-3.024
falling_forwad_hand,5.657,-9.053,3.330,-2.526
falling_forwad_hand,5.756,-10.430,2.953,-2.646
falling_forwad_hand,5.855,-9.156,3.387,-2.392
falling_forwad_hand,5.955,-8.317,3.968,-1.743
falling_forwad_hand,6.054,-8.873,3.312,-2.524
falling_forwad_hand,6.153,-8.636,3.051,-3.267
falling_forwad_hand,6.252,-9.000,2.633,-4.414
falling_forwad_hand,6.352,-9.120,2.539,-4.407
falling_forwad_hand,6.451,-8.438,2.795,-4.412
falling_forwad_hand,6.550,-9.061,2.246,-4.699
falling_forwad_hand,6.649,-8.929,2.319,-4.342
falling_forwad_hand,6.749,-10.156,2.040,-4.440
falling_forwad_hand,6.848,-9.118,2.292,-4.560
falling_forwad_hand,6.947,-10.101,2.031,-4.645
falling_forwad_hand,7.046,-16.799,-0.669,-1.978
falling_forwad_hand,7.146,-4.322,4.771,2.664
falling_forwad_hand,7.245,2.011,6.458,-0.580
falling_forwad_hand,7.344,6.640,5.490,5.459
falling_forwad_hand,7.443,8.999,6.250,4.360
falling_forwad_hand,7.542,10.346,5.494,3.979
falling_forwad_hand,7.642,7.147,3.953,1.402
falling_forwad_hand,7.741,8.599,3.825,1.003
falling_forwad_hand,7.840,9.673,2.709,1.781
falling_forwad_hand,7.939,10.963,2.213,1.775
falling_forwad_hand,8.039,9.960,0.716,1.276
falling_forwad_hand,8.138,10.161,-0.523,0.365
falling_forwad_hand,8.237,9.090,-1.247,1.356
falling_forwad_hand,8.336,10.212,-1.451,1.855
falling_forwad_hand,8.436,9.972,-1.001,2.100
falling_forwad_hand,8.535,9.989,-0.866,2.316
falling_forwad_hand,8.634,9.879,-1.162,2.730
falling_forwad_hand,8.733,10.493,-1.157,2.478
falling_forwad_hand,8.833,11.047,-0.595,3.041
falling_forwad_hand,8.932,12.882,-2.342,2.305
falling_forwad_hand,9.031,12.220,-2.194,0.832
falling_forwad_hand,9.130,11.652,-1.319,6.145
falling_forwad_hand,9.230,6.449,0.075,3.437
falling_forwad_hand,9.329,3.221,0.713,5.356
falling_forwad_hand,9.428,3.945,3.981,5.881
falling_forwad_hand,9.527,0.081,4.804,6.138
falling_forwad_hand,9.627,2.324,5.574,8.579
falling_forwad_hand,9.726,4.111,4.997,7.861
falling_forwad_hand,9.825,4.740,4.825,6.567
falling_forwad_hand,9.924,4.406,4.292,9.186
falling_forwad_hand,10.023,3.664,3.227,8.672
falling_forwad_hand,10.123,2.803,3.078,9.519
