timestamp,x,y,z
0.000,-0.382,0.273,9.400
0.019,-1.254,0.227,9.659
0.039,-1.374,0.143,9.690
0.058,-1.084,0.074,9.872
0.077,-0.809,0.100,9.984
0.097,-0.785,0.196,9.278
0.116,-0.773,0.323,8.636
0.136,-0.768,0.160,9.446
0.155,-1.043,0.105,9.862
0.174,-1.086,0.115,9.879
0.194,-0.979,0.196,9.517
0.213,-0.971,0.309,8.854
0.232,-0.971,0.345,8.866
0.252,-0.813,0.321,9.156
0.271,-0.828,0.285,9.568
0.291,-0.976,0.268,9.905
0.310,-0.988,0.321,9.659
0.329,-0.888,0.378,9.331
0.349,-0.926,0.452,9.106
0.368,-1.043,0.476,9.276
0.387,-1.019,0.469,9.685
0.407,-0.883,0.574,9.484
0.426,-1.062,0.596,9.362
0.446,-1.249,0.562,9.620
0.465,-1.172,0.527,9.757
0.484,-1.055,0.562,9.616
0.504,-1.247,0.606,9.496
0.523,-1.328,0.656,9.477
0.542,-1.172,0.608,9.719
0.562,-0.969,0.584,9.805
0.581,-0.923,0.567,9.668
0.601,-1.084,0.658,9.235
0.620,-1.115,0.644,9.288
0.639,-0.955,0.735,9.434
0.659,-0.727,0.864,9.391
0.678,-0.698,1.087,9.120
0.697,-0.722,1.312,8.809
0.717,-1.017,1.479,8.447
0.736,-1.165,1.424,8.375
0.756,-1.129,1.341,8.450
0.775,-1.232,1.365,8.421
0.794,-1.338,1.448,8.450
0.814,-1.062,1.403,8.411
0.833,-0.765,1.427,7.925
0.852,-0.950,1.451,7.463
0.872,-0.981,1.400,7.657
0.891,-0.533,1.350,7.389
0.910,-0.169,1.353,6.714
0.930,-0.610,1.388,6.551
0.949,-1.101,1.226,6.778
0.969,-1.271,1.056,6.730
0.988,-1.261,0.938,6.711
1.007,-0.706,0.761,6.745
1.027,-0.186,0.814,6.350
1.046,-0.318,0.969,5.986
1.065,-0.725,1.180,6.321
1.085,-0.880,1.609,6.568
1.104,-1.017,1.755,6.189
1.124,-0.952,2.071,5.802
1.143,-0.828,2.626,6.783
1.162,-1.941,3.625,8.153
1.182,-3.701,4.841,8.948
1.201,-4.055,5.464,7.997
1.220,-3.476,5.188,5.859
1.240,-3.289,4.736,4.817
1.259,-4.002,4.130,4.985
1.279,-2.324,4.513,5.038
1.298,-1.115,3.237,4.604
1.317,-6.318,0.857,5.167
1.337,-4.386,-1.239,10.066
1.356,3.819,-3.880,15.922
1.375,-0.636,-7.022,16.971
1.395,-5.899,-8.351,11.450
1.414,0.649,-5.200,15.039
1.434,9.745,-1.819,8.330
1.453,-2.554,1.463,8.974
1.472,-0.536,-0.026,52.157
1.492,13.439,-1.668,44.699
1.511,-4.137,-8.377,25.078
1.530,-2.394,-17.679,-0.389
1.550,-3.311,-19.972,-3.892
1.569,1.697,-7.371,-2.417
1.589,-4.151,8.442,18.563
1.608,-5.137,4.432,48.216
1.627,-2.444,-2.712,30.582
1.647,-8.674,-2.738,0.443
1.666,-5.523,3.060,-6.044
1.685,0.785,4.796,-12.315
1.705,0.754,3.055,-8.245
1.724,-2.487,-3.560,56.960
1.743,-3.184,-7.745,3.577
1.763,-3.852,1.594,7.908
1.782,0.074,2.250,11.440
1.802,1.130,4.075,12.886
1.820,0.165,2.238,8.430
1.840,-2.520,1.278,8.524
1.860,-6.244,3.232,8.404
1.879,-6.584,2.373,8.203
1.898,-3.186,-0.629,9.740
1.918,-4.240,0.874,7.013
1.937,-3.629,1.961,14.050
1.957,0.500,1.365,13.102
1.976,3.416,1.238,10.806
1.995,1.317,2.052,9.249
2.015,-4.376,2.823,6.314
2.034,-6.878,1.168,2.031
2.053,-0.009,-1.776,3.675
2.073,3.390,0.620,10.916
2.092,1.604,3.555,16.411
2.112,2.097,1.590,13.937
2.131,-0.660,0.807,8.485
2.150,-3.387,0.237,10.442
2.170,-3.284,0.445,12.015
2.189,-0.957,1.841,10.815
2.208,-0.662,3.100,10.035
2.228,-0.361,1.432,9.833
2.247,1.922,-0.820,9.106
2.266,3.122,0.455,7.971
2.286,3.072,1.532,7.525
2.305,1.329,1.041,6.991
2.325,-0.921,0.685,6.031
2.344,-1.405,1.649,7.047
2.363,-0.270,1.609,12.544
2.383,1.118,0.613,12.019
2.402,0.263,0.505,11.701
2.421,0.060,0.744,11.900
2.441,-0.342,0.898,9.268
2.460,-0.581,0.776,9.165
2.480,-0.085,0.701,10.341
2.499,0.131,0.764,10.171
2.518,-0.143,1.025,9.625
2.538,-0.014,1.240,8.984
2.557,0.893,0.531,10.130
2.576,1.171,-0.239,10.284
2.596,0.218,0.546,9.999
2.615,-0.919,0.735,9.692
2.635,-1.383,1.005,9.489
2.654,-0.366,1.058,9.405
2.673,0.175,0.167,9.292
2.693,-0.947,0.404,10.274
2.712,-0.756,0.191,10.209
2.731,-0.289,0.246,9.829
2.751,-0.263,0.452,9.462
2.770,-1.553,0.737,9.280
2.789,-2.683,0.677,9.292
2.809,-2.942,0.215,9.690
2.828,-2.643,0.194,9.975
2.848,-1.819,0.134,9.482
2.867,-1.290,0.165,9.383
2.886,-1.692,0.108,9.534
2.906,-2.145,0.100,9.788
2.925,-2.195,-0.002,9.898
2.944,-2.032,-0.105,9.659
2.964,-2.123,-0.248,9.553
2.983,-1.824,0.000,9.544
3.003,-1.625,0.014,9.642
3.022,-1.982,0.005,9.398
3.041,-2.080,-0.241,9.623
3.061,-2.137,-0.222,9.654
3.080,-2.499,-0.102,9.738
3.099,-2.482,-0.040,9.951
3.119,-2.343,-0.148,9.764
3.138,-2.200,-0.011,9.297
3.158,-2.087,0.103,9.065
3.177,-2.046,0.000,8.751
3.196,-2.037,-0.093,8.715
3.216,-2.257,-0.107,9.285
3.235,-2.449,-0.184,11.780
3.254,-2.039,-0.251,9.532
3.274,-2.310,0.033,9.273
3.293,-2.025,-0.243,8.881
3.312,-2.396,-0.105,9.695
3.332,-2.279,-0.279,9.999
3.351,-2.473,-0.155,9.580
3.371,-2.319,-0.327,9.587
3.390,-2.293,-0.208,9.687
3.409,-2.106,-0.071,9.992
3.429,-1.979,-0.212,9.771
3.448,-2.482,-0.138,9.165
3.467,-2.848,-0.083,8.866
3.487,-2.757,-0.102,8.835
3.506,-2.688,-0.100,9.005
3.525,-2.525,-0.021,9.376
3.545,-2.537,-0.131,9.647
3.563,-2.748,-0.275,9.817
3.584,-2.892,-0.294,9.948
3.603,-2.674,-0.413,9.783
3.622,-2.674,-0.399,9.541
3.642,-2.657,-0.246,9.046
3.661,-2.676,-0.114,8.782
3.680,-2.683,-0.162,9.237
3.700,-2.836,-0.243,9.561
3.719,-2.915,-0.418,9.841
3.739,-2.935,-0.208,9.666
3.758,-2.767,-0.145,9.094
3.777,-2.425,-0.210,9.312
3.797,-2.705,-0.404,9.793
3.816,-3.253,-0.442,9.340
3.835,-3.188,-0.193,9.182
3.855,-2.573,-0.126,9.448
3.874,-2.736,-0.164,9.314
3.894,-2.597,-0.392,9.369
3.913,-2.954,-0.282,9.577
3.932,-3.145,-0.334,9.407
3.952,-2.975,-0.313,9.347
3.971,-2.717,-0.095,9.221
3.990,-2.535,-0.200,9.321
4.010,-2.257,-0.409,9.410
4.029,-2.355,-0.390,9.436
4.049,-3.265,-0.648,9.335
4.068,-4.410,0.828,9.556
4.087,-2.374,-1.036,9.362
4.107,-3.840,0.165,9.189
4.126,-2.188,-0.282,9.529
4.145,-2.377,-0.045,9.663
4.165,-2.880,-0.447,9.280
4.184,-3.358,-0.617,9.376
4.204,-3.548,-0.394,9.565
4.223,-2.851,-0.212,9.333
4.242,-2.676,-0.069,9.412
4.262,-3.241,-0.174,9.300
4.281,-3.289,-0.303,9.431
4.300,-2.927,-0.210,9.649
4.320,-2.621,-0.196,9.225
4.339,-2.736,0.012,9.532
4.358,-2.350,0.242,9.733
4.378,-1.706,-0.138,9.714
4.397,-2.085,-0.236,9.024
4.417,-2.825,-0.299,8.902
4.436,-3.787,-0.303,9.563
4.455,-3.880,0.256,9.048
4.475,-2.726,0.062,8.533
4.494,-0.792,-0.502,10.667
4.513,-2.504,0.323,10.786
4.533,-3.114,0.191,8.847
4.552,-3.023,0.007,9.063
4.572,-3.002,0.062,9.137
4.591,-2.906,0.038,9.393
4.610,-2.403,0.323,9.242
4.630,-2.470,0.330,9.180
4.649,-2.963,0.086,10.233
4.668,-3.440,0.175,9.577
4.688,-3.751,0.064,9.242
4.707,-3.339,0.139,9.094
4.726,-2.741,0.196,9.441
4.746,-2.827,0.170,9.273
4.765,-3.136,0.079,9.367
4.785,-3.567,0.119,9.280
4.804,-3.550,0.110,9.513
4.823,-3.315,-0.016,9.137
4.843,-3.148,0.105,9.173
4.862,-3.141,0.028,9.553
4.881,-3.490,0.141,9.371
4.901,-3.349,0.005,9.031
4.920,-3.370,0.005,9.345
4.940,-3.368,0.136,9.010
4.959,-3.308,-0.002,9.388
4.978,-3.160,-0.061,9.441
4.998,-3.284,0.115,9.113
5.017,-3.442,0.196,9.132
5.036,-3.469,-0.011,9.304
5.056,-3.459,-0.028,9.371
5.075,-3.552,0.117,9.137
5.095,-3.413,0.139,9.391
5.114,-3.109,0.086,9.376
5.133,-3.018,0.100,9.146
5.153,-3.107,0.177,9.024
5.172,-3.282,0.170,9.424
5.191,-3.306,-0.014,9.556
5.211,-3.536,-0.018,9.158
5.230,-3.583,0.045,9.209
5.249,-3.617,0.112,9.328
5.269,-3.315,0.000,9.367
5.288,-3.081,0.127,9.347
5.308,-3.004,0.031,9.261
5.327,-3.234,0.050,9.218
5.346,-3.392,0.100,9.355
5.366,-3.191,0.036,9.268
5.385,-3.141,0.074,9.347
5.404,-3.294,0.031,9.302
5.424,-3.370,0.086,9.192
5.443,-3.291,0.079,9.367
5.463,-3.131,0.081,9.314
5.482,-3.150,0.024,9.280
5.501,-3.354,0.079,9.242
5.520,-3.416,0.069,9.331
5.540,-3.272,0.014,9.276
5.559,-3.153,0.019,9.285
5.579,-3.167,0.019,9.247
5.598,-3.267,0.024,9.319
5.618,-3.311,0.055,9.295
5.637,-3.349,0.050,9.247
5.656,-3.232,-0.057,9.369
5.676,-3.229,0.007,9.154
5.695,-3.263,0.091,9.276
5.714,-3.275,-0.021,9.319
5.734,-3.311,-0.033,9.240
5.753,-3.234,0.062,9.297
5.772,-3.193,0.009,9.350
5.792,-3.380,-0.021,9.204
5.811,-3.354,0.084,9.216
5.831,-3.253,-0.016,9.403
5.850,-3.301,-0.021,9.194
5.869,-3.325,-0.006,9.288
5.889,-3.342,-0.002,9.230
5.908,-3.279,0.019,9.213
5.927,-3.287,0.014,9.333
5.947,-3.354,0.000,9.249
5.966,-3.366,-0.021,9.307
5.986,-3.445,-0.021,9.273
6.005,-3.358,0.012,9.247
6.024,-3.313,-0.002,9.312
6.044,-3.346,-0.028,9.266
6.063,-3.370,-0.033,9.264
6.082,-3.282,-0.054,9.249
6.102,-3.200,-0.004,9.199
6.121,-3.258,-0.014,9.307
6.141,-3.409,-0.033,9.233
6.160,-3.320,-0.054,9.206
6.179,-3.325,-0.030,9.130
6.199,-3.148,-0.023,9.412
6.218,-3.085,-0.057,9.568
6.237,-3.361,-0.081,9.187
6.257,-3.402,0.000,9.072
6.276,-3.301,-0.042,9.412
6.296,-2.973,-0.076,9.094
6.315,-3.153,0.031,9.429
6.334,-3.330,-0.097,9.333
6.354,-3.445,-0.093,9.295
6.373,-3.224,-0.114,9.175
6.392,-3.006,0.005,9.209
6.412,-3.064,-0.009,9.398
6.431,-3.358,-0.083,9.216
6.450,-3.327,-0.112,9.244
6.470,-3.260,-0.035,9.182
6.489,-3.184,-0.030,9.271
6.509,-3.220,-0.138,9.441
6.528,-3.239,-0.131,9.264
6.547,-3.215,-0.038,9.266
6.567,-3.251,-0.004,9.364
6.586,-3.287,-0.047,9.221
6.605,-3.375,-0.088,9.304
6.625,-3.241,-0.069,9.213
6.644,-3.136,-0.090,9.338
6.664,-3.232,-0.088,9.345
6.683,-3.260,-0.100,9.197
6.702,-3.270,-0.112,9.230
6.722,-3.090,-0.109,9.182
6.741,-3.294,0.031,9.393
6.760,-3.267,-0.073,9.280
6.780,-3.179,-0.117,9.268
6.799,-3.236,-0.097,9.312
6.819,-3.282,-0.066,9.278
6.838,-3.289,-0.047,9.304
6.857,-3.229,-0.057,9.173
6.877,-3.232,-0.047,9.326
6.896,-3.224,-0.121,9.321
6.915,-3.215,-0.119,9.175
6.935,-3.272,-0.023,9.343
6.954,-3.241,-0.066,9.278
6.974,-3.251,-0.090,9.187
6.993,-3.210,-0.152,9.259
7.012,-3.277,-0.052,9.309
7.032,-3.229,-0.061,9.355
7.051,-3.251,-0.121,9.256
7.070,-3.368,-0.090,9.156
7.090,-3.220,-0.047,9.264
7.109,-3.169,-0.076,9.266
7.128,-3.289,-0.081,9.235
7.148,-3.476,-0.150,9.414
7.167,-3.413,-0.148,9.142
7.187,-3.198,-0.071,9.264
7.206,-3.198,-0.021,9.209
7.225,-3.330,-0.162,9.482
7.245,-3.521,-0.093,9.151
7.263,-3.227,-0.102,9.120
7.283,-3.241,-0.054,9.347
7.303,-3.303,-0.078,9.240
7.322,-3.375,-0.124,9.185
7.342,-3.313,-0.172,9.247
7.361,-3.311,-0.126,9.359
7.380,-3.373,-0.023,9.218
7.400,-3.303,-0.059,9.247
7.419,-3.342,-0.138,9.177
7.438,-3.356,-0.114,9.259
7.458,-3.303,-0.052,9.240
7.477,-3.282,-0.076,9.199
7.496,-3.418,-0.162,9.323
7.516,-3.323,-0.136,9.230
7.535,-3.301,-0.124,9.259
7.555,-3.327,-0.093,9.163
7.574,-3.323,-0.100,9.333
7.593,-3.430,-0.133,9.218
7.613,-3.375,-0.121,9.098
7.632,-3.303,-0.076,9.376
7.651,-3.452,-0.076,9.213
7.671,-3.291,-0.124,9.209
7.690,-3.289,-0.162,9.386
7.710,-3.471,-0.054,9.199
7.729,-3.337,-0.069,9.079
7.748,-3.320,-0.105,9.290
7.768,-3.311,-0.172,9.297
7.787,-3.306,-0.081,9.225
7.806,-3.373,-0.033,9.237
7.826,-3.473,-0.143,9.204
7.845,-3.337,-0.119,9.206
7.865,-3.332,-0.097,9.328
7.884,-3.366,-0.061,9.134
7.903,-3.330,-0.109,9.261
7.923,-3.392,-0.167,9.189
7.942,-3.447,-0.054,9.221
7.961,-3.394,-0.112,9.347
7.981,-3.346,-0.109,9.084
8.000,-3.275,-0.152,9.254
8.019,-3.478,-0.162,9.403
8.039,-3.459,-0.109,9.122
8.058,-3.248,-0.121,9.242
8.078,-3.380,-0.085,9.280
8.097,-3.504,-0.129,9.098
8.116,-3.373,-0.093,9.204
8.136,-3.267,-0.119,9.405
8.155,-3.425,-0.179,9.242
8.174,-3.483,-0.064,9.051
8.194,-3.440,-0.052,9.235
8.213,-3.457,-0.148,9.302
8.233,-3.339,-0.152,9.216
8.252,-3.370,-0.083,9.161
8.271,-3.452,-0.059,9.139
8.291,-3.437,-0.164,9.206
8.310,-3.390,-0.205,9.283
8.329,-3.313,-0.069,9.288
8.349,-3.390,-0.090,9.151
8.368,-3.519,-0.155,9.163
8.388,-3.473,-0.157,9.297
8.407,-3.291,-0.152,9.218
8.426,-3.397,-0.117,9.247
8.446,-3.442,-0.152,9.235
8.465,-3.440,-0.150,9.187
8.484,-3.411,-0.109,9.216
8.504,-3.399,-0.045,9.206
8.523,-3.409,-0.131,9.201
8.542,-3.447,-0.191,9.280
8.562,-3.375,-0.121,9.256
8.581,-3.445,-0.083,9.137
8.601,-3.435,-0.145,9.163
8.620,-3.418,-0.152,9.264
8.639,-3.320,-0.148,9.218
8.659,-3.402,-0.081,9.206
8.678,-3.397,-0.155,9.276
8.697,-3.533,-0.129,9.204
8.717,-3.404,-0.179,9.173
8.736,-3.406,-0.119,9.249
8.756,-3.380,-0.143,9.194
8.775,-3.457,-0.129,9.185
8.794,-3.442,-0.155,9.173
8.814,-3.430,-0.093,9.283
8.833,-3.421,-0.150,9.288
8.852,-3.466,-0.157,9.139
8.872,-3.435,-0.150,9.142
8.891,-3.488,-0.126,9.230
8.911,-3.433,-0.143,9.199
8.930,-3.387,-0.157,9.221
8.949,-3.423,-0.145,9.233
8.969,-3.454,-0.152,9.185
8.988,-3.502,-0.152,9.182
9.006,-3.413,-0.097,9.259
9.027,-3.437,-0.136,9.201
9.046,-3.428,-0.167,9.173
9.065,-3.430,-0.176,9.237
9.085,-3.483,-0.138,9.180
9.104,-3.485,-0.152,9.223
9.124,-3.478,-0.148,9.228
9.143,-3.394,-0.160,9.173
9.162,-3.428,-0.121,9.168
9.182,-3.536,-0.126,9.211
9.201,-3.490,-0.152,9.218
9.220,-3.425,-0.181,9.201
9.240,-3.493,-0.148,9.216
9.259,-3.533,-0.097,9.228
9.279,-3.433,-0.152,9.094
9.298,-3.483,-0.133,9.213
9.317,-3.485,-0.198,9.225
9.337,-3.526,-0.138,9.175
9.356,-3.387,-0.179,9.170
9.375,-3.550,-0.143,9.228
9.395,-3.593,-0.117,9.242
9.414,-3.404,-0.210,9.168
9.433,-3.457,-0.193,9.146
9.453,-3.507,-0.167,9.177
9.472,-3.595,-0.148,9.091
9.492,-3.507,-0.160,9.244
9.511,-3.416,-0.198,9.216
9.530,-3.488,-0.157,9.225
9.550,-3.612,-0.114,9.146
9.569,-3.543,-0.143,9.158
9.588,-3.519,-0.222,9.180
9.608,-3.516,-0.157,9.204
9.627,-3.500,-0.126,9.223
9.647,-3.481,-0.150,9.115
9.666,-3.540,-0.193,9.161
9.685,-3.526,-0.162,9.295
9.705,-3.514,-0.152,9.096
9.724,-3.507,-0.196,9.177
9.743,-3.512,-0.148,9.211
9.763,-3.504,-0.167,9.194
9.782,-3.550,-0.169,9.204
9.801,-3.550,-0.148,9.168
9.821,-3.572,-0.150,9.187
9.840,-3.490,-0.205,9.151
9.860,-3.471,-0.198,9.134
9.879,-3.572,-0.141,9.213
9.898,-3.560,-0.124,9.228
9.918,-3.445,-0.172,9.165
9.937,-3.485,-0.181,9.139
9.956,-3.576,-0.141,9.247
9.976,-3.586,-0.148,9.089
9.995,-3.524,-0.184,9.180
10.015,-3.528,-0.181,9.242
10.034,-3.507,-0.141,9.173
10.053,-3.524,-0.186,9.130
10.073,-3.593,-0.152,9.177
10.092,-3.562,-0.143,9.225
10.111,-3.454,-0.222,9.098
10.131,-3.572,-0.162,9.235
10.150,-3.569,-0.148,9.233
10.169,-3.574,-0.164,9.120
10.189,-3.404,-0.208,9.072
10.208,-3.548,-0.172,9.295
10.228,-3.567,-0.121,9.103
10.247,-3.543,-0.138,9.206
10.266,-3.473,-0.169,9.163
10.286,-3.567,-0.203,9.216
10.305,-3.639,-0.188,9.146
10.324,-3.579,-0.141,9.142
10.344,-3.502,-0.191,9.094
10.363,-3.579,-0.179,9.192
10.383,-3.572,-0.148,9.288
10.402,-3.588,-0.224,9.144
10.421,-3.730,-0.169,9.187
10.441,-3.552,-0.327,9.242
10.460,-3.538,-0.184,9.067
10.479,-3.526,-0.105,9.055
10.499,-3.488,-0.076,9.132
10.518,-3.411,-0.131,8.912
10.537,-3.497,-0.229,8.955
10.557,-3.701,-0.229,9.316
10.576,-3.682,-0.217,9.438
10.596,-3.751,-0.217,9.051
10.615,-3.528,-0.155,9.182
10.634,-3.586,-0.205,9.163
10.654,-3.648,-0.212,9.154
10.673,-3.672,-0.124,9.182
10.692,-3.698,-0.241,9.323
10.711,-3.734,-0.260,9.501
10.731,-3.643,-0.370,9.819
10.751,-3.866,-0.066,9.343
10.770,-3.583,0.079,8.385
10.789,-3.062,0.040,8.225
