label,timestamp,x,y,z
falling_forwad_pocket,0.000,1.658,-9.237,1.367
falling_forwad_pocket,0.099,14.554,-8.179,0.210
falling_forwad_pocket,0.198,7.235,-7.294,0.358
falling_forwad_pocket,0.297,7.606,-6.432,-3.957
falling_forwad_pocket,0.396,2.981,-4.702,1.718
falling_forwad_pocket,0.496,7.579,-14.820,-2.843
falling_forwad_pocket,0.595,2.200,-5.241,0.102
falling_forwad_pocket,0.694,5.921,-6.041,-0.896
falling_forwad_pocket,0.793,6.846,-11.331,0.764
falling_forwad_pocket,0.893,-0.444,-8.981,2.054
falling_forwad_pocket,0.992,4.756,-10.085,-0.198
falling_forwad_pocket,1.091,7.294,-7.889,-1.684
falling_forwad_pocket,1.190,12.986,-6.090,-3.185
falling_forwad_pocket,1.290,2.420,0.835,4.540
falling_forwad_pocket,1.389,5.492,-19.009,-1.892
falling_forwad_pocket,1.488,0.237,-5.504,1.849
falling_forwad_pocket,1.587,2.690,-7.185,-9.360
falling_forwad_pocket,1.687,13.720,-11.831,-11.579
falling_forwad_pocket,1.786,11.580,1.100,-7.744
falling_forwad_pocket,1.885,3.813,-0.986,-6.290
falling_forwad_pocket,1.984,2.400,-5.264,-11.972
falling_forwad_pocket,2.084,1.383,-6.364,-9.473
falling_forwad_pocket,2.183,0.288,1.263,-10.229
falling_forwad_pocket,2.282,-7.428,-4.515,-7.676
falling_forwad_pocket,2.381,-5.426,4.908,-0.605
falling_forwad_pocket,2.480,-7.880,5.128,-4.851
falling_forwad_pocket,2.580,-8.611,2.532,-1.598
falling_forwad_pocket,2.679,-6.447,2.367,-1.707
falling_forwad_pocket,2.778,-11.835,-1.974,-3.785
falling_forwad_pocket,2.877,-7.879,-4.762,-4.377
falling_forwad_pocket,2.977,-12.867,-8.209,-5.652
falling_forwad_pocket,3.076,-2.930,-6.712,-4.838
falling_forwad_pocket,3.175,-7.636,-0.342,-4.381
falling_forwad_pocket,3.274,-10.124,-4.411,-6.520
falling_forwad_pocket,3.374,-6.543,-3.037,-5.462
falling_forwad_pocket,3.473,-5.996,-2.975,-4.685
falling_forwad_pocket,3.572,-9.565,-3.478,-5.545
falling_forwad_pocket,3.671,-6.011,-4.908,-4.764
falling_forwad_pocket,3.771,-5.663,-4.110,-5.810
falling_forwad_pocket,3.870,-5.821,-5.453,-6.869
falling_forwad_pocket,3.969,-7.477,-3.781,-4.800
falling_forwad_pocket,4.068,-8.412,-3.995,-4.609
falling_forwad_pocket,4.168,-9.758,-5.077,-4.457
falling_forwad_pocket,4.267,-9.527,-6.317,-3.166
falling_forwad_pocket,4.366,-8.043,-5.885,-1.723
falling_forwad_pocket,4.465,-7.792,-4.854,-7.620
falling_forwad_pocket,4.565,-8.176,-2.292,-8.219
falling_forwad_pocket,4.664,-5.608,-0.785,-6.486
falling_forwad_pocket,4.763,-5.121,-5.425,-2.140
falling_forwad_pocket,4.862,-10.177,-6.452,-1.798
falling_forwad_pocket,4.961,-9.682,-4.789,-2.871
falling_forwad_pocket,5.061,-7.095,-2.901,-6.584
falling_forwad_pocket,5.160,-5.802,-2.638,-7.958
falling_forwad_pocket,5.259,-3.350,-1.149,-9.343
falling_forwad_pocket,5.358,-2.443,-0.849,-9.657
falling_forwad_pocket,5.458,-1.384,0.881,-9.354
falling_forwad_pocket,5.557,0.555,0.745,-10.867
falling_forwad_pocket,5.656,1.305,0.636,-9.587
falling_forwad_pocket,5.755,2.937,1.125,-9.679
falling_forwad_pocket,5.855,4.604,1.674,-9.544
falling_forwad_pocket,5.954,4.647,1.564,-8.567
falling_forwad_pocket,6.125,5.163,2.158,-7.746
falling_forwad_pocket,6.324,3.675,1.141,-7.814
falling_forwad_pocket,6.469,5.411,0.972,-7.528
falling_forwad_pocket,6.568,8.469,1.358,-7.679
falling_forwad_pocket,6.667,8.076,0.909,-6.617
falling_forwad_pocket,6.803,8.955,-0.108,-5.599
falling_forwad_pocket,6.822,8.417,0.144,-6.168
