timestamp,x,y,z
0.000,0.230,-0.600,9.903
0.019,0.139,-0.674,10.415
0.038,-0.442,-0.777,11.196
0.058,-0.622,-0.737,10.825
0.077,-0.251,-0.428,9.975
0.097,-0.038,0.060,8.816
0.116,-0.105,0.311,8.457
0.135,0.021,0.184,8.586
0.155,0.165,0.155,9.350
0.174,-0.296,0.119,9.745
0.193,-0.832,0.103,9.503
0.213,-0.411,-0.023,9.285
0.232,-0.296,-0.184,9.127
0.252,-0.660,-0.143,9.261
0.271,-0.650,-0.085,9.462
0.290,0.280,-0.995,9.479
0.310,-0.157,0.203,10.844
0.329,-1.010,0.828,10.671
0.349,-0.387,0.220,9.065
0.368,0.397,0.309,8.270
0.387,0.555,0.227,10.205
0.407,-0.550,0.488,11.644
0.426,-0.694,0.278,10.705
0.445,-0.093,0.091,9.122
0.465,-0.351,0.661,8.066
0.484,-0.586,1.048,7.815
0.504,-0.212,1.068,9.517
0.523,0.088,0.445,10.719
0.542,0.254,0.493,10.901
0.562,0.436,0.835,10.135
0.581,-0.004,1.044,9.197
0.600,-0.222,0.912,8.852
0.620,-0.157,0.771,9.070
0.639,-0.093,0.617,9.721
0.659,-0.196,0.574,10.020
0.678,-0.311,0.543,9.965
0.697,-0.318,0.675,9.608
0.717,-0.239,0.689,9.060
0.736,-0.284,0.596,9.101
0.755,-0.191,0.433,9.723
0.775,0.017,0.395,9.860
0.794,-0.088,0.424,9.611
0.814,-0.248,0.431,9.223
0.833,0.014,0.385,9.436
0.852,0.352,0.510,9.455
0.872,0.251,0.455,9.273
0.891,0.062,0.426,9.333
0.910,0.244,0.479,9.656
0.930,0.345,0.608,9.182
0.949,0.311,0.785,8.574
0.969,0.038,0.864,8.294
0.988,-0.234,0.912,8.466
1.007,-0.708,0.821,8.490
1.027,-1.194,0.926,8.277
1.046,-1.177,1.036,8.023
1.066,-0.698,1.259,7.839
1.085,-0.279,1.472,8.066
1.104,-0.018,1.563,8.538
1.124,0.091,1.621,8.756
1.143,-0.040,1.645,8.481
1.162,0.136,1.867,7.978
1.182,0.277,1.910,7.566
1.201,-0.085,1.748,7.549
1.221,-0.277,1.518,7.475
1.240,0.119,1.458,7.346
1.259,0.606,1.391,7.212
1.279,0.388,1.271,7.296
1.298,0.139,1.099,8.074
1.317,0.033,0.917,7.935
1.337,0.304,1.333,6.809
1.356,0.565,1.949,5.363
1.376,0.024,2.080,5.179
1.395,-1.019,1.894,5.744
1.414,-0.885,1.242,5.830
1.434,-1.852,1.341,5.208
1.453,-2.925,1.898,5.734
1.472,-1.608,1.312,4.305
1.492,-1.407,0.055,2.509
1.511,-0.500,0.510,1.623
1.531,-0.502,0.661,0.694
1.550,-0.469,0.409,0.575
1.569,0.948,0.840,-0.372
1.589,3.838,2.152,0.108
1.608,3.486,1.511,2.390
1.627,-0.586,8.720,7.667
1.647,-1.333,5.890,10.911
1.666,-6.004,-4.876,22.777
1.686,-23.779,-10.666,58.598
1.705,-7.103,-19.460,20.893
1.724,7.822,5.667,40.267
1.744,23.323,-6.114,50.424
1.763,3.455,-6.897,13.018
1.782,-8.209,-1.711,16.542
1.802,-10.584,4.096,10.466
1.821,-5.633,5.842,4.521
1.841,-3.837,5.056,3.623
1.860,-2.365,4.989,0.721
1.879,7.642,2.696,0.165
1.899,8.883,2.356,19.327
1.918,-2.801,0.996,20.100
1.937,-6.114,2.258,6.924
1.957,-6.109,2.279,11.711
1.976,-2.587,1.290,10.487
1.996,1.010,0.270,12.063
2.015,1.204,-0.868,10.968
2.034,-0.344,-0.478,9.699
2.054,-0.516,-0.186,8.742
2.073,0.009,-0.284,8.284
2.093,0.613,-0.502,8.225
2.112,1.295,-0.507,7.612
2.131,1.245,0.244,7.370
2.151,0.833,0.989,8.208
2.170,0.809,0.493,8.584
2.189,0.385,-0.310,9.321
2.208,0.287,-0.691,9.379
2.228,0.388,-0.217,9.836
2.248,0.187,0.246,10.281
2.267,0.617,0.258,10.501
2.286,0.876,0.218,10.147
2.306,0.570,0.218,9.697
2.325,0.455,0.244,9.297
2.344,0.500,0.689,9.539
2.364,0.337,1.384,9.709
2.383,0.462,1.149,9.601
2.403,0.282,0.622,9.886
2.422,0.450,0.462,9.793
2.441,0.483,0.931,9.510
2.461,0.354,1.154,9.731
2.480,0.313,0.931,9.745
2.499,0.194,1.142,9.728
2.519,0.048,1.556,9.731
2.538,0.007,1.458,9.912
2.558,0.536,0.821,10.037
2.577,0.184,1.161,9.623
2.596,0.122,1.606,9.273
2.616,-0.164,1.276,9.338
2.635,-0.378,1.039,9.656
2.654,-0.038,1.839,9.795
2.674,0.414,1.987,10.353
2.693,0.443,1.285,10.322
2.713,-0.437,1.472,9.920
2.732,-0.543,1.894,9.733
2.751,0.028,1.551,9.623
2.771,-0.002,1.312,9.635
2.790,-0.234,1.666,9.637
2.810,0.002,1.645,9.592
2.829,0.045,1.439,9.649
2.848,-0.028,1.513,9.537
2.868,0.167,1.566,9.642
2.887,0.210,1.422,9.675
2.906,-0.028,1.489,9.606
2.926,0.024,1.544,9.678
2.945,0.105,1.360,9.716
2.965,0.036,1.362,9.750
2.984,0.014,1.427,9.668
3.003,0.017,1.496,9.726
3.023,0.139,1.465,9.601
3.042,0.141,1.408,9.599
3.061,0.005,1.376,9.628
3.081,0.045,1.391,9.711
3.100,0.127,1.424,9.733
3.120,0.062,1.391,9.714
3.139,-0.050,1.453,9.719
3.158,0.064,1.491,9.776
3.178,0.117,1.455,9.740
3.197,-0.004,1.463,9.563
3.216,0.076,1.539,9.901
3.236,0.155,1.513,9.977
3.255,0.000,1.594,9.699
3.275,0.048,1.618,9.754
3.294,0.124,1.551,9.747
3.313,-0.002,1.609,9.898
3.333,0.081,1.625,10.121
3.352,0.141,1.482,10.279
3.372,0.289,1.147,10.071
