timestamp,x,y,z
0.000,0.074,0.754,10.106
0.020,-0.334,0.560,10.348
0.039,0.124,0.256,10.051
0.058,0.924,0.455,10.327
0.078,1.080,0.476,9.793
0.097,0.500,0.720,8.715
0.116,-0.200,0.941,8.581
0.136,-0.536,0.962,8.782
0.155,-0.176,0.538,9.371
0.175,0.301,0.268,10.037
0.194,0.723,0.390,11.299
0.213,1.180,0.368,11.749
0.233,1.573,0.534,11.260
0.252,0.553,0.926,10.650
0.271,-0.397,0.950,8.330
0.291,-0.916,1.113,6.592
0.310,0.311,1.649,8.579
0.330,3.455,0.673,10.628
0.349,3.278,0.122,11.122
0.368,2.574,0.742,10.130
0.388,2.286,0.328,9.297
0.407,1.839,1.034,8.208
0.426,1.836,2.080,7.149
0.446,1.714,3.460,6.596
0.465,2.291,2.557,6.620
0.484,2.028,2.226,8.675
0.504,1.343,2.274,9.673
0.523,1.549,2.452,10.233
0.543,1.793,2.964,11.232
0.562,2.162,2.710,10.533
0.581,2.607,2.006,9.165
0.601,2.492,1.800,8.373
0.620,1.879,1.913,8.756
0.639,1.630,1.805,9.549
0.659,1.798,1.420,9.754
0.677,2.040,1.269,9.944
0.698,2.102,1.202,9.740
0.717,1.563,1.113,9.553
0.736,1.305,1.130,9.752
0.756,1.420,0.960,9.671
0.775,1.448,1.056,8.885
0.794,1.317,1.051,8.038
0.814,1.369,1.190,8.038
0.833,1.027,1.154,8.392
0.853,0.479,1.077,8.533
0.872,0.371,1.199,8.438
0.891,1.262,1.118,8.411
0.911,2.071,0.957,8.246
0.930,2.377,0.780,8.347
0.949,2.444,0.591,8.785
0.969,1.953,0.378,10.027
0.988,1.333,0.304,10.331
1.007,1.228,0.385,9.879
1.027,1.135,0.359,8.694
1.046,0.795,0.505,7.643
1.066,0.766,0.629,7.078
1.085,0.759,0.656,7.166
1.104,0.148,0.646,6.893
1.124,-0.732,0.826,6.673
1.143,-0.773,0.859,6.833
1.162,-0.339,0.807,7.614
1.182,0.244,0.608,7.968
1.201,0.431,0.505,7.398
1.220,0.747,0.685,6.778
1.240,1.180,0.819,6.256
1.259,1.178,0.852,6.259
1.279,1.001,0.565,6.709
1.298,1.278,0.057,7.202
1.317,1.889,-0.227,7.616
1.337,2.375,-0.610,7.705
1.356,2.315,-0.837,7.932
1.375,1.757,-1.232,7.806
1.395,1.106,-1.500,7.169
1.414,1.223,-1.558,7.011
1.434,1.870,-2.066,6.661
1.453,0.965,-2.303,7.102
1.472,-0.176,-2.303,7.008
1.492,-1.460,-2.561,7.173
1.511,-2.568,-2.425,6.826
1.530,-2.030,-2.583,6.525
1.550,-0.823,-1.912,7.140
1.569,0.974,-1.591,7.667
1.588,2.396,-1.012,8.476
1.608,4.750,-0.318,9.635
1.627,6.426,-0.581,11.440
1.647,7.163,-1.907,13.164
1.666,6.424,-0.437,12.491
1.685,8.011,1.247,10.250
1.705,12.773,2.267,10.217
1.724,22.116,-1.419,18.046
1.743,23.394,-4.484,20.110
1.763,16.887,-2.698,12.450
1.782,19.223,-2.003,11.871
1.802,18.694,-1.606,8.304
1.821,14.954,-0.854,6.084
1.840,43.439,2.037,15.692
1.860,29.691,10.113,-5.185
1.879,-1.046,1.204,-0.705
1.898,15.488,3.005,12.568
1.918,19.674,-1.795,10.681
1.937,13.671,-1.539,6.410
1.957,4.156,-3.006,2.720
1.976,-0.404,-3.471,-1.826
1.995,-1.591,-2.293,-2.369
2.015,-1.115,-1.915,-2.657
2.034,1.290,-0.773,-1.368
2.053,3.395,-0.356,-1.273
2.073,3.313,-0.220,-2.906
2.092,0.086,-0.227,-5.211
2.111,-3.253,-1.084,-5.930
2.131,-6.596,0.045,-2.659
2.150,-7.338,1.781,3.546
2.170,-3.222,1.968,6.204
2.189,4.946,1.757,2.313
2.208,15.536,1.355,-0.023
2.228,21.637,-0.126,-1.584
2.247,17.782,0.936,0.374
2.266,10.374,3.313,3.623
