label,timestamp,x,y,z
falling_left_hand,0.000,-1.666,3.853,9.410
falling_left_hand,0.020,-2.302,3.682,8.895
falling_left_hand,0.040,-0.743,3.379,10.375
falling_left_hand,0.061,0.630,3.937,9.722
falling_left_hand,0.081,1.580,4.096,8.098
falling_left_hand,0.101,1.909,4.307,7.986
falling_left_hand,0.121,2.274,4.453,8.671
falling_left_hand,0.141,2.083,3.897,9.626
falling_left_hand,0.161,1.164,3.657,9.328
falling_left_hand,0.182,0.503,3.785,8.026
falling_left_hand,0.202,0.346,3.950,7.318
falling_left_hand,0.222,0.761,4.156,7.302
falling_left_hand,0.242,0.715,3.927,7.667
falling_left_hand,0.262,0.160,3.591,7.831
falling_left_hand,0.282,-0.139,3.493,8.135
falling_left_hand,0.302,0.180,3.700,8.601
falling_left_hand,0.323,0.555,3.892,8.648
falling_left_hand,0.343,1.223,4.171,8.915
falling_left_hand,0.363,1.772,4.471,8.319
falling_left_hand,0.383,0.812,4.207,8.068
falling_left_hand,0.403,-0.278,3.543,7.747
falling_left_hand,0.423,0.921,4.823,7.953
falling_left_hand,0.444,1.531,4.236,8.337
falling_left_hand,0.464,2.151,3.331,7.564
falling_left_hand,0.484,2.124,5.311,6.698
falling_left_hand,0.504,0.180,4.109,6.656
falling_left_hand,0.524,-0.812,2.749,8.127
falling_left_hand,0.544,-2.121,1.982,6.164
falling_left_hand,0.564,-1.998,1.293,5.267
falling_left_hand,0.585,2.389,1.053,9.069
falling_left_hand,0.605,3.288,4.356,10.455
falling_left_hand,0.625,1.763,5.332,10.502
falling_left_hand,0.645,1.835,3.877,10.321
falling_left_hand,0.665,4.074,2.874,6.005
falling_left_hand,0.685,5.195,4.064,3.844
falling_left_hand,0.705,2.368,2.892,4.959
falling_left_hand,0.726,0.601,2.051,5.617
falling_left_hand,0.746,1.845,2.085,6.708
falling_left_hand,0.766,4.031,1.510,9.558
falling_left_hand,0.786,4.524,1.254,11.578
falling_left_hand,0.806,3.364,1.492,11.967
falling_left_hand,0.826,2.902,1.672,11.793
falling_left_hand,0.847,2.540,2.219,10.487
falling_left_hand,0.867,2.576,2.418,10.193
falling_left_hand,0.887,2.436,2.371,11.049
falling_left_hand,0.907,2.826,2.328,11.298
falling_left_hand,0.927,2.404,2.263,10.779
falling_left_hand,0.947,2.041,2.330,9.261
falling_left_hand,0.967,1.735,2.319,7.705
falling_left_hand,0.988,1.158,2.188,7.122
falling_left_hand,1.008,0.807,2.255,7.242
falling_left_hand,1.028,1.393,2.515,8.409
falling_left_hand,1.048,2.047,2.850,8.966
falling_left_hand,1.068,1.850,3.081,7.923
falling_left_hand,1.088,0.491,2.990,6.905
falling_left_hand,1.109,-0.766,2.711,6.762
falling_left_hand,1.129,-1.231,2.690,6.873
falling_left_hand,1.149,-1.644,2.553,7.611
falling_left_hand,1.169,-1.647,2.133,8.170
falling_left_hand,1.189,-0.682,2.187,7.875
falling_left_hand,1.209,-0.615,2.537,6.328
falling_left_hand,1.229,0.102,2.586,5.470
falling_left_hand,1.250,0.946,2.297,7.235
falling_left_hand,1.270,1.143,1.800,9.678
falling_left_hand,1.290,2.288,2.718,9.509
falling_left_hand,1.310,3.649,4.150,7.081
falling_left_hand,1.330,2.923,4.211,5.145
falling_left_hand,1.350,2.132,4.334,4.702
falling_left_hand,1.370,2.279,4.596,4.908
falling_left_hand,1.391,5.304,4.389,6.593
falling_left_hand,1.411,7.944,4.642,8.811
falling_left_hand,1.431,7.809,4.384,11.240
falling_left_hand,1.451,7.100,3.725,11.708
falling_left_hand,1.471,7.210,4.842,9.666
falling_left_hand,1.491,8.859,5.671,11.277
falling_left_hand,1.512,6.935,4.260,17.417
falling_left_hand,1.532,5.467,4.936,13.870
falling_left_hand,1.552,9.191,7.527,7.570
falling_left_hand,1.572,9.316,8.257,9.856
falling_left_hand,1.592,7.409,7.415,11.517
falling_left_hand,1.612,7.329,7.720,9.222
falling_left_hand,1.632,9.793,9.128,0.509
falling_left_hand,1.653,17.192,12.818,-9.148
falling_left_hand,1.673,17.929,8.490,-15.847
falling_left_hand,1.693,0.903,1.264,-10.199
falling_left_hand,1.713,-2.336,-2.677,7.153
falling_left_hand,1.733,13.058,1.270,11.316
falling_left_hand,1.753,14.110,4.103,7.087
falling_left_hand,1.774,5.370,-2.804,6.963
falling_left_hand,1.794,5.619,-9.694,8.153
falling_left_hand,1.813,11.529,-14.681,-5.845
falling_left_hand,1.834,7.002,-13.557,-20.420
falling_left_hand,1.854,2.935,-7.789,-24.219
falling_left_hand,1.874,9.600,-3.714,-15.606
falling_left_hand,1.894,22.326,-4.623,0.394
falling_left_hand,1.915,29.661,-8.076,10.680
falling_left_hand,1.935,22.770,-13.223,12.764
falling_left_hand,1.955,7.930,-14.851,2.949
falling_left_hand,1.975,0.573,-11.203,-0.722
falling_left_hand,1.995,12.015,-4.079,-7.822
falling_left_hand,2.015,18.675,0.127,1.886
falling_left_hand,2.035,14.741,-1.744,7.882
falling_left_hand,2.056,9.328,-5.044,8.262
falling_left_hand,2.076,6.353,-4.235,6.044
falling_left_hand,2.096,6.773,-2.716,3.721
falling_left_hand,2.116,9.589,-1.928,2.899
falling_left_hand,2.136,12.870,-1.724,5.704
falling_left_hand,2.156,10.817,-0.842,9.045
falling_left_hand,2.177,7.920,1.070,7.289
falling_left_hand,2.197,3.698,0.952,7.679
falling_left_hand,2.217,2.559,0.172,7.535
falling_left_hand,2.237,5.837,0.653,8.238
falling_left_hand,2.257,6.506,1.892,9.049
falling_left_hand,2.277,4.433,1.910,7.844
falling_left_hand,2.297,4.442,1.797,8.042
falling_left_hand,2.318,5.183,1.107,8.263
falling_left_hand,2.338,5.783,1.503,8.080
falling_left_hand,2.358,5.386,1.760,7.740
