label,timestamp,x,y,z
falling_left_pocket,0.000,2.655,-9.279,2.116
falling_left_pocket,0.020,2.535,-9.322,2.339
falling_left_pocket,0.040,2.397,-9.325,2.367
falling_left_pocket,0.060,2.430,-9.326,2.154
falling_left_pocket,0.080,2.529,-9.297,1.706
falling_left_pocket,0.100,2.602,-9.228,1.333
falling_left_pocket,0.120,2.626,-9.271,1.182
falling_left_pocket,0.141,2.638,-9.368,1.180
falling_left_pocket,0.161,2.614,-9.435,1.226
falling_left_pocket,0.181,2.509,-9.479,1.232
falling_left_pocket,0.201,2.418,-9.485,1.131
falling_left_pocket,0.221,2.399,-9.507,0.986
falling_left_pocket,0.241,2.418,-9.534,0.885
falling_left_pocket,0.262,2.446,-9.474,0.885
falling_left_pocket,0.284,2.555,-9.337,0.937
falling_left_pocket,0.304,2.607,-9.318,0.932
falling_left_pocket,0.324,2.717,-9.294,0.908
falling_left_pocket,0.344,2.847,-9.289,0.942
falling_left_pocket,0.364,2.919,-9.294,1.076
falling_left_pocket,0.384,2.909,-9.275,1.258
falling_left_pocket,0.405,2.890,-9.255,1.387
falling_left_pocket,0.425,2.899,-9.270,1.449
falling_left_pocket,0.445,2.895,-9.298,1.483
falling_left_pocket,0.465,2.851,-9.337,1.521
falling_left_pocket,0.485,2.794,-9.322,1.516
falling_left_pocket,0.505,2.775,-9.284,1.430
falling_left_pocket,0.526,2.808,-9.284,1.315
falling_left_pocket,0.546,2.861,-9.318,1.253
falling_left_pocket,0.566,2.847,-9.318,1.238
falling_left_pocket,0.586,2.770,-9.308,1.210
falling_left_pocket,0.607,2.703,-9.351,1.171
falling_left_pocket,0.627,2.650,-9.356,1.186
falling_left_pocket,0.647,2.641,-9.327,1.200
falling_left_pocket,0.667,2.708,-9.342,1.214
falling_left_pocket,0.687,2.794,-9.361,1.258
falling_left_pocket,0.707,2.856,-9.385,1.310
falling_left_pocket,0.726,2.890,-9.394,1.329
falling_left_pocket,0.748,2.904,-9.385,1.291
falling_left_pocket,0.768,2.952,-9.394,1.210
falling_left_pocket,0.788,3.010,-9.361,1.147
falling_left_pocket,0.808,3.033,-9.251,1.143
falling_left_pocket,0.828,3.053,-9.131,1.104
falling_left_pocket,0.848,3.077,-9.073,0.985
falling_left_pocket,0.869,3.043,-9.069,0.918
falling_left_pocket,0.889,2.919,-9.102,1.037
falling_left_pocket,0.909,2.761,-9.155,1.238
falling_left_pocket,0.929,2.622,-9.179,1.358
falling_left_pocket,0.949,2.521,-9.198,1.387
falling_left_pocket,0.969,2.502,-9.260,1.401
falling_left_pocket,0.989,2.631,-9.265,1.411
falling_left_pocket,1.010,2.851,-9.236,1.315
falling_left_pocket,1.030,3.062,-9.284,1.162
falling_left_pocket,1.050,3.168,-9.337,1.066
falling_left_pocket,1.070,3.153,-9.370,1.013
falling_left_pocket,1.090,3.100,-9.423,0.965
falling_left_pocket,1.110,3.110,-9.433,0.879
falling_left_pocket,1.130,3.201,-9.428,0.750
falling_left_pocket,1.151,3.249,-9.423,0.697
falling_left_pocket,1.171,3.124,-9.375,0.740
falling_left_pocket,1.191,2.866,-9.394,0.764
falling_left_pocket,1.211,2.674,-9.533,0.769
falling_left_pocket,1.231,2.641,-9.696,0.822
falling_left_pocket,1.251,2.617,-9.686,0.865
falling_left_pocket,1.272,2.717,-9.581,0.846
falling_left_pocket,1.292,3.043,-9.610,0.779
falling_left_pocket,1.312,3.244,-9.576,0.630
falling_left_pocket,1.332,2.866,-8.987,0.391
falling_left_pocket,1.352,2.143,-8.326,0.520
falling_left_pocket,1.372,1.793,-8.609,0.764
falling_left_pocket,1.392,1.990,-9.370,0.779
falling_left_pocket,1.413,2.377,-9.658,1.152
falling_left_pocket,1.433,2.622,-9.619,1.803
falling_left_pocket,1.453,2.698,-9.610,2.306
falling_left_pocket,1.473,2.818,-9.605,2.416
falling_left_pocket,1.493,3.077,-9.615,2.115
falling_left_pocket,1.513,3.369,-9.524,1.655
falling_left_pocket,1.534,3.613,-9.231,1.344
falling_left_pocket,1.554,3.809,-9.030,1.497
falling_left_pocket,1.574,4.111,-8.987,1.631
falling_left_pocket,1.594,4.427,-8.863,0.874
falling_left_pocket,1.614,4.422,-8.757,0.132
falling_left_pocket,1.634,4.350,-8.738,0.515
falling_left_pocket,1.654,4.556,-8.494,1.104
falling_left_pocket,1.675,4.685,-8.030,0.846
falling_left_pocket,1.695,4.580,-7.627,0.209
falling_left_pocket,1.715,4.537,-7.311,-0.414
falling_left_pocket,1.735,5.734,-6.837,-4.225
falling_left_pocket,1.755,5.725,-7.038,-8.118
falling_left_pocket,1.775,2.717,-8.575,-5.030
falling_left_pocket,1.795,0.050,-9.954,-0.160
falling_left_pocket,1.816,-0.601,-9.773,1.765
falling_left_pocket,1.836,1.429,-8.231,2.828
falling_left_pocket,1.856,5.930,-6.473,2.823
falling_left_pocket,1.876,11.868,-5.147,-0.126
falling_left_pocket,1.896,12.969,-5.626,-1.941
falling_left_pocket,1.916,7.994,-7.431,-1.228
falling_left_pocket,1.937,5.543,-7.862,-1.079
falling_left_pocket,1.957,6.879,-7.455,-0.581
falling_left_pocket,1.977,7.587,-7.307,0.329
falling_left_pocket,1.997,6.754,-7.335,0.669
falling_left_pocket,2.017,6.711,-7.469,-0.701
falling_left_pocket,2.037,7.563,-7.484,-3.426
falling_left_pocket,2.057,7.468,-7.575,-5.781
falling_left_pocket,2.078,8.023,-7.637,-6.208
falling_left_pocket,2.098,9.196,-7.330,-5.130
falling_left_pocket,2.118,8.176,-6.521,-4.632
falling_left_pocket,2.138,6.266,-5.808,-5.078
falling_left_pocket,2.158,5.567,-6.143,-6.155
falling_left_pocket,2.178,6.979,-6.248,-6.682
falling_left_pocket,2.198,8.641,-4.041,-6.322
falling_left_pocket,2.219,8.262,-1.972,-6.648
falling_left_pocket,2.239,6.907,-2.509,-6.974
falling_left_pocket,2.259,6.788,-3.844,-6.734
falling_left_pocket,2.279,7.166,-4.338,-6.265
falling_left_pocket,2.299,6.481,-3.792,-5.983
falling_left_pocket,2.319,5.816,-2.547,-5.403
falling_left_pocket,2.340,5.811,-1.402,-4.656
falling_left_pocket,2.360,6.639,-0.756,-4.536
falling_left_pocket,2.380,5.705,2.376,-5.456
falling_left_pocket,2.400,0.218,13.633,-4.326
falling_left_pocket,2.420,-11.519,24.522,-9.952
