timestamp,x,y,z
0.000,-4.939,-8.453,0.278
0.019,-4.603,-8.432,-0.135
0.038,-4.575,-8.451,-0.169
0.058,-4.575,-8.360,-0.037
0.077,-4.503,-8.444,-0.164
0.096,-4.498,-8.544,-0.152
0.116,-4.788,-8.403,-0.217
0.135,-4.776,-8.463,-0.183
0.155,-4.884,-8.346,-0.291
0.174,-4.972,-8.092,-0.442
0.193,-4.927,-8.113,-0.420
0.213,-4.991,-8.286,-0.535
0.232,-5.111,-8.422,-0.741
0.251,-5.125,-8.219,-0.657
0.271,-5.037,-8.046,-0.729
0.290,-5.022,-8.013,-0.643
0.310,-5.200,-8.022,-0.696
0.329,-5.252,-8.116,-0.834
0.348,-5.185,-8.219,-0.842
0.368,-5.130,-8.176,-0.875
0.387,-5.046,-8.054,-0.878
0.406,-5.089,-7.917,-0.712
0.426,-5.221,-7.833,-0.609
0.445,-5.315,-7.821,-0.686
0.464,-5.506,-7.795,-0.806
0.484,-5.566,-7.833,-0.703
0.503,-5.547,-7.829,-0.787
0.523,-5.475,-7.759,-0.705
0.542,-5.487,-7.759,-0.660
0.561,-5.588,-7.762,-0.775
0.581,-5.580,-7.750,-0.933
0.600,-5.401,-7.690,-0.992
0.619,-5.180,-7.553,-1.055
0.639,-4.982,-7.532,-1.270
0.658,-4.805,-7.596,-1.502
0.678,-4.556,-7.522,-1.732
0.697,-4.189,-7.187,-2.125
0.716,-3.926,-6.595,-2.295
0.736,-3.828,-6.045,-2.307
0.755,-3.682,-5.774,-2.903
0.774,-3.399,-5.458,-2.678
0.794,-2.575,-5.303,-1.696
0.813,-1.297,-5.379,-0.641
0.833,-0.993,-5.413,0.122
0.852,-1.709,-5.549,-0.839
0.871,-2.329,-5.645,-1.919
0.891,-2.990,-5.386,-1.651
0.910,-2.961,-5.614,-1.060
0.929,-2.494,-6.402,-1.435
0.949,-2.717,-6.651,-2.575
0.968,-2.602,-6.689,-1.718
0.988,-2.276,-6.335,-0.427
1.007,-1.960,-6.394,0.429
1.026,-2.959,-7.070,-0.985
1.046,-3.775,-8.305,-2.685
1.065,-3.112,-10.034,-1.996
1.084,-3.552,-10.405,-1.352
1.104,-4.398,-9.842,-0.095
1.123,-5.238,-9.778,-0.597
1.143,-4.714,-10.264,-2.436
1.162,-4.137,-9.734,-3.147
1.181,-3.885,-9.222,-1.558
1.201,-5.386,-9.047,-0.602
1.220,-6.876,-9.016,-1.751
1.239,-4.771,-7.003,-4.474
1.259,-2.638,-4.419,-4.718
1.278,-0.021,-8.362,-2.063
1.297,4.037,-9.646,0.967
1.317,6.800,-6.588,-1.828
1.336,7.405,-5.468,-4.313
1.356,10.149,-5.671,-4.119
1.375,9.203,-7.398,-3.030
1.394,7.942,-8.681,-1.929
1.414,11.780,-10.493,1.422
1.433,21.493,-19.046,6.017
1.452,39.343,-35.497,15.625
1.472,9.268,-18.232,12.704
1.491,-5.611,-2.537,1.147
1.511,6.067,-2.259,6.022
1.530,5.164,3.890,5.505
1.549,8.363,1.175,8.529
1.569,13.221,-3.390,8.773
1.588,9.785,-4.972,6.319
1.607,4.738,-3.303,5.349
1.627,4.494,-1.872,5.588
1.646,5.107,-2.118,6.836
1.666,4.709,-2.386,7.343
1.685,5.387,-2.492,5.612
1.704,5.267,-2.458,5.778
1.724,6.201,-3.552,6.570
1.743,6.680,-3.988,6.450
1.762,6.804,-3.315,6.455
1.782,7.041,-2.734,6.304
1.801,6.888,-2.690,5.665
1.821,6.914,-3.181,5.265
1.840,7.875,-3.722,5.560
1.859,8.373,-4.089,4.964
1.879,8.274,-4.426,3.709
1.898,7.106,-4.831,3.079
1.917,6.522,-5.753,3.979
1.937,6.347,-6.107,3.680
1.956,6.278,-5.772,2.871
1.976,7.106,-6.550,2.529
1.995,7.187,-6.907,1.619
2.014,6.761,-6.852,0.726
2.034,6.630,-7.192,0.654
2.053,6.783,-7.680,0.769
2.072,6.747,-7.661,0.386
2.092,6.699,-7.551,0.841
2.111,6.139,-7.268,1.336
2.130,5.641,-6.993,1.614
2.150,5.571,-6.986,1.781
2.169,5.859,-6.904,1.935
2.189,6.369,-6.847,1.681
2.208,7.113,-6.449,1.367
2.227,7.417,-6.062,1.532
2.247,7.159,-6.009,1.781
2.266,6.979,-6.157,1.956
2.284,6.902,-6.174,2.052
2.305,6.898,-5.805,1.947
2.324,7.195,-5.609,2.011
2.344,7.338,-5.561,1.963
2.363,7.365,-5.525,2.033
2.382,7.513,-5.647,2.093
2.402,7.647,-5.757,2.090
2.421,7.630,-5.714,1.954
2.440,7.417,-5.554,1.940
2.460,7.348,-5.492,1.834
2.479,7.290,-5.511,1.834
2.498,7.329,-5.523,1.880
2.518,7.410,-5.559,1.822
2.537,7.511,-5.604,1.671
2.557,7.427,-5.508,1.702
2.576,7.266,-5.690,2.066
2.595,6.895,-5.978,2.121
2.615,6.663,-6.057,2.098
2.634,6.907,-6.045,2.289
2.654,7.104,-6.047,2.335
2.673,7.453,-6.880,2.813
2.692,7.444,-8.219,2.074
2.712,4.882,-3.947,0.029
2.731,6.261,-4.103,3.273
2.750,8.310,-5.370,3.424
2.770,8.363,-6.509,0.838
2.789,7.293,-6.382,2.177
2.809,6.606,-5.578,3.067
2.828,6.979,-4.685,2.059
2.847,7.568,-4.524,2.129
2.867,7.503,-4.987,2.481
2.886,7.039,-5.561,2.210
2.905,6.780,-5.983,1.817
2.925,6.881,-5.877,2.241
2.944,7.219,-5.523,2.744
2.964,7.326,-5.487,2.593
2.983,7.357,-5.925,1.961
3.002,7.228,-6.196,1.592
3.022,7.175,-6.133,1.532
3.041,7.262,-5.851,1.650
3.060,7.321,-5.671,1.779
3.080,7.199,-5.669,1.693
3.099,7.130,-5.815,1.688
3.118,7.116,-5.896,1.884
3.138,7.178,-5.870,1.983
3.157,7.219,-5.755,2.016
3.177,7.338,-5.652,2.076
3.196,7.264,-5.578,2.129
3.215,7.211,-5.566,2.160
3.235,7.166,-5.599,2.280
3.254,7.199,-5.516,2.306
3.273,7.250,-5.441,2.289
3.293,7.271,-5.453,2.332
3.312,7.278,-5.494,2.313
3.332,7.271,-5.489,2.301
3.351,7.293,-5.487,2.349
3.370,7.310,-5.487,2.296
3.390,7.298,-5.477,2.186
3.409,7.211,-5.485,2.232
3.428,7.307,-5.530,2.248
3.448,7.276,-5.501,2.181
3.467,7.286,-5.568,2.169
3.487,7.271,-5.602,2.210
3.506,7.266,-5.532,2.248
3.525,7.259,-5.532,2.232
3.545,7.281,-5.482,2.200
3.564,7.293,-5.446,2.191
3.583,7.269,-5.446,2.265
3.603,7.355,-5.461,2.392
3.622,7.264,-5.449,2.382
3.641,7.195,-5.437,2.330
3.661,7.262,-5.449,2.378
3.680,7.348,-5.437,2.390
3.700,7.331,-5.463,2.414
3.719,7.302,-5.465,2.380
3.738,7.367,-5.410,2.356
3.758,7.379,-5.410,2.325
3.777,7.353,-5.394,2.268
3.796,7.290,-5.422,2.370
3.816,7.300,-5.425,2.442
3.835,7.319,-5.391,2.294
3.855,7.379,-5.377,2.339
3.874,7.393,-5.360,2.344
3.893,7.374,-5.334,2.323
3.913,7.377,-5.305,2.315
3.932,7.420,-5.317,2.284
3.951,7.384,-5.310,2.291
3.971,7.386,-5.298,2.414
3.990,7.305,-5.343,2.485
4.010,7.367,-5.358,2.438
4.029,7.381,-5.367,2.430
4.048,7.353,-5.360,2.428
4.068,7.331,-5.327,2.416
4.087,7.317,-5.322,2.447
4.106,7.403,-5.338,2.483
4.126,7.372,-5.341,2.473
4.145,7.338,-5.324,2.488
4.165,7.362,-5.276,2.488
4.184,7.408,-5.236,2.473
4.203,7.405,-5.243,2.469
4.223,7.372,-5.283,2.457
4.241,7.367,-5.288,2.481
4.261,7.389,-5.276,2.495
4.281,7.403,-5.257,2.509
4.300,7.393,-5.310,2.538
4.320,7.355,-5.269,2.433
4.339,7.415,-5.264,2.466
4.358,7.429,-5.307,2.507
4.378,7.377,-5.303,2.476
4.397,7.357,-5.298,2.531
4.416,7.381,-5.269,2.450
4.436,7.403,-5.228,2.416
4.455,7.372,-5.236,2.555
4.474,7.360,-5.231,2.588
4.494,7.415,-5.219,2.533
4.513,7.482,-5.200,2.426
4.533,7.441,-5.180,2.428
4.552,7.393,-5.245,2.500
4.571,7.321,-5.257,2.521
4.591,7.336,-5.221,2.512
4.610,7.403,-5.192,2.521
4.629,7.398,-5.243,2.543
4.649,7.350,-5.310,2.531
4.668,7.365,-5.279,2.536
4.688,7.434,-5.243,2.555
4.707,7.456,-5.219,2.517
4.726,7.374,-5.252,2.483
4.746,7.360,-5.293,2.531
4.765,7.374,-5.288,2.529
4.784,7.386,-5.271,2.497
4.804,7.377,-5.271,2.473
4.823,7.343,-5.288,2.392
4.843,7.381,-5.377,2.402
4.862,7.391,-5.456,2.406
4.881,7.391,-5.384,2.373
4.901,7.393,-5.362,2.428
4.920,7.302,-5.365,2.438
4.939,7.259,-5.394,2.509
4.959,7.283,-5.401,2.536
4.978,7.329,-5.456,2.555
4.997,7.319,-5.360,2.459
5.017,7.307,-5.425,2.464
5.036,7.254,-5.355,2.464
5.056,7.264,-5.305,2.564
5.075,7.281,-5.370,2.619
5.094,7.262,-5.346,2.517
5.114,7.281,-5.377,2.529
5.133,7.271,-5.458,2.584
