label,timestamp,x,y,z
falling_right_hand,0.000,0.502,5.461,7.692
falling_right_hand,0.020,1.197,5.402,8.462
falling_right_hand,0.041,1.261,5.386,8.650
falling_right_hand,0.061,0.748,5.344,8.036
falling_right_hand,0.081,0.095,5.242,7.751
falling_right_hand,0.101,0.310,5.209,8.166
falling_right_hand,0.121,0.156,5.012,8.787
falling_right_hand,0.141,-0.214,4.977,8.557
falling_right_hand,0.162,0.129,5.396,8.185
falling_right_hand,0.182,1.002,5.742,7.490
falling_right_hand,0.202,1.195,5.839,7.473
falling_right_hand,0.222,0.939,5.613,7.529
falling_right_hand,0.242,0.272,5.470,7.511
falling_right_hand,0.262,1.007,3.959,8.297
falling_right_hand,0.282,0.590,4.394,7.514
falling_right_hand,0.303,0.968,5.517,6.322
falling_right_hand,0.323,0.854,5.519,6.753
falling_right_hand,0.343,-0.532,4.639,6.938
falling_right_hand,0.363,-0.968,4.505,7.953
falling_right_hand,0.383,-1.589,5.328,8.332
falling_right_hand,0.403,-2.319,5.826,7.720
falling_right_hand,0.424,-2.643,5.724,7.354
falling_right_hand,0.444,-2.443,6.236,6.926
falling_right_hand,0.464,-2.616,6.870,7.189
falling_right_hand,0.484,-2.910,6.968,6.996
falling_right_hand,0.504,-3.005,6.258,7.585
falling_right_hand,0.524,0.226,6.340,9.355
falling_right_hand,0.544,0.577,6.835,9.568
falling_right_hand,0.565,0.382,6.781,8.923
falling_right_hand,0.585,0.164,6.814,8.077
falling_right_hand,0.605,-0.304,6.633,7.861
falling_right_hand,0.625,-0.426,6.344,7.943
falling_right_hand,0.645,-0.243,6.228,8.045
falling_right_hand,0.665,-0.535,5.971,7.972
falling_right_hand,0.685,-0.485,5.854,7.967
falling_right_hand,0.706,-0.134,6.079,7.982
falling_right_hand,0.726,0.050,6.005,7.575
falling_right_hand,0.746,-0.321,5.878,7.328
falling_right_hand,0.766,-0.487,5.834,7.329
falling_right_hand,0.786,-0.104,5.880,8.055
falling_right_hand,0.806,-0.080,5.874,8.160
falling_right_hand,0.827,-0.397,5.839,7.742
falling_right_hand,0.846,-0.681,5.783,7.417
falling_right_hand,0.867,-0.601,5.834,7.389
falling_right_hand,0.887,-0.239,5.886,7.664
falling_right_hand,0.907,0.075,6.006,7.861
falling_right_hand,0.927,0.023,6.032,7.620
falling_right_hand,0.947,-0.172,6.009,7.366
falling_right_hand,0.968,-0.322,5.953,7.354
falling_right_hand,0.988,-0.256,5.943,7.536
falling_right_hand,1.008,0.073,6.035,7.688
falling_right_hand,1.028,0.036,6.054,7.802
falling_right_hand,1.048,-0.314,5.933,7.679
