timestamp,x,y,z
0.000,-1.929,-0.310,8.991
0.019,-2.056,-0.476,10.540
0.038,-2.058,-0.473,10.782
0.058,-1.869,-0.224,9.996
0.077,-1.915,-0.260,9.019
0.096,-1.910,-0.291,9.735
0.116,-1.790,-0.176,10.231
0.135,-1.462,-0.263,10.422
0.154,-1.520,-0.133,10.767
0.174,-1.311,-0.222,10.624
0.193,-1.117,-0.267,9.738
0.212,-1.213,-0.265,9.103
0.232,-0.955,-0.502,8.979
0.251,-0.794,-0.136,10.145
0.271,-0.888,0.187,9.520
0.290,-0.042,0.883,9.084
0.309,-0.152,1.034,9.525
0.329,-0.512,0.359,9.515
0.348,-1.000,0.225,9.673
0.367,-0.255,-0.028,9.170
0.387,0.792,0.021,9.053
0.406,0.438,0.653,9.388
0.425,-0.105,0.586,9.256
0.445,-0.282,0.720,8.711
0.464,-0.002,0.469,8.893
0.483,-0.174,0.570,9.237
0.503,-0.617,0.742,8.976
0.522,-0.610,0.759,8.682
0.542,-0.313,0.371,8.694
0.561,-0.447,0.230,9.414
0.580,-0.698,0.304,9.575
0.600,-0.327,0.069,9.364
0.619,-0.054,0.048,9.596
0.638,-0.291,0.079,9.386
0.658,-0.710,-0.054,9.489
0.677,-0.449,-0.057,9.285
0.696,-0.243,-0.181,9.285
0.716,-0.528,-0.313,9.594
0.735,-0.698,-0.287,9.300
0.754,-0.497,-0.310,8.964
0.774,-0.775,-0.548,9.209
0.793,-0.983,-0.701,9.450
0.812,-0.634,-0.612,9.053
0.832,-0.545,-0.636,8.763
0.851,-0.679,-0.818,9.010
0.870,-1.175,-0.907,8.938
0.890,-1.376,-1.007,8.411
0.909,-1.062,-0.888,8.361
0.929,-0.943,-0.868,8.275
0.948,-1.280,-0.935,8.124
0.967,-1.481,-0.940,7.918
0.987,-1.302,-0.873,7.489
1.006,-0.979,-0.682,7.339
1.025,-1.060,-0.868,7.540
1.045,-1.254,-1.007,7.839
1.064,-1.072,-1.196,8.081
1.083,-0.976,-1.228,8.122
1.103,-1.110,-1.235,8.088
1.122,-1.457,-1.259,8.196
1.141,-1.436,-1.256,7.825
1.161,-1.352,-1.213,7.719
1.180,-1.318,-1.213,8.299
1.200,-1.146,-1.077,7.870
1.219,-0.902,-0.868,7.358
1.238,-0.433,-0.670,7.197
1.258,0.287,-0.674,7.650
1.277,0.388,-0.990,8.428
1.296,-0.181,-1.148,8.735
1.316,-0.569,-1.196,8.253
1.335,-0.459,-1.026,7.894
1.354,-0.210,-1.098,8.208
1.374,0.175,-1.177,8.758
1.393,0.311,-1.522,8.021
1.412,0.493,-1.996,7.185
1.432,-0.176,-1.951,7.300
1.451,-1.850,-0.895,7.779
1.470,1.106,-1.096,7.762
1.490,2.559,-0.737,7.662
1.509,0.512,-0.294,4.487
1.529,0.577,-0.169,2.552
1.548,3.414,0.433,4.291
1.567,-1.283,3.385,10.415
1.587,-4.632,0.917,20.613
1.606,-4.436,-0.775,19.135
1.625,-1.666,7.633,11.574
1.645,-4.438,16.465,3.187
1.664,-7.453,11.770,-0.099
1.683,-41.389,6.759,23.167
1.703,-55.135,-9.375,60.365
1.722,-39.206,-13.333,41.879
1.741,-6.945,-20.892,26.170
1.761,22.827,-18.665,3.893
1.780,11.873,-9.021,-19.443
1.799,-16.915,5.533,-10.017
1.819,-28.973,36.740,-16.766
1.838,-4.062,18.096,6.060
1.858,23.967,-2.099,28.344
1.877,13.441,4.369,22.882
1.896,2.073,5.739,18.127
1.916,-2.288,6.311,13.126
1.935,-1.967,4.989,5.002
1.954,-1.826,4.125,-0.904
1.974,-2.185,4.484,-3.119
1.993,-4.730,6.189,-4.828
2.012,-6.648,4.779,-6.337
2.032,-9.653,2.648,-6.375
2.051,-11.137,3.503,-3.700
2.070,-8.983,4.094,0.429
2.090,-5.796,2.945,1.856
2.109,-6.179,3.072,2.471
2.128,-5.999,3.998,1.623
2.148,-2.956,3.294,0.704
2.167,-0.785,1.563,1.406
2.187,0.081,-1.594,4.013
2.206,-3.191,-4.347,12.151
2.225,-11.499,-5.978,26.579
2.245,-14.454,-7.232,24.508
2.264,-12.646,-4.070,16.217
2.283,-8.331,-1.328,7.324
2.303,-4.546,-0.787,2.959
2.322,-2.925,-0.421,4.849
2.341,-3.909,-0.090,7.394
2.361,-4.802,0.464,9.695
2.380,-3.825,0.826,10.166
2.399,-2.451,0.931,10.128
2.419,-2.180,0.996,9.273
2.438,-2.640,0.737,7.688
2.458,-3.753,0.811,6.994
2.477,-4.388,0.864,7.082
2.496,-3.921,0.670,6.989
2.516,-3.018,0.704,6.874
2.535,-3.871,0.246,7.075
2.554,-5.506,-0.751,7.264
2.574,-7.204,-1.541,8.172
2.593,-8.772,-2.274,9.204
2.612,-9.308,-2.473,9.970
2.632,-8.544,-2.209,9.666
2.651,-7.376,-1.831,8.225
2.670,-6.761,-1.378,6.905
2.690,-6.567,-0.967,6.034
2.709,-6.684,-1.053,4.489
2.728,-7.125,-1.144,2.208
2.748,-7.869,-1.395,1.746
2.767,-8.990,-2.166,4.058
2.787,-9.481,-2.997,6.965
2.806,-10.113,-3.109,8.275
2.825,-10.242,-3.119,7.331
2.845,-9.976,-2.700,5.802
2.864,-9.196,-2.202,4.987
2.883,-7.977,-1.833,4.822
2.903,-6.993,-1.503,5.110
2.922,-6.696,-1.426,5.452
2.941,-7.134,-1.534,5.773
2.961,-7.702,-1.797,5.653
2.980,-8.030,-2.101,5.397
2.999,-8.420,-2.310,5.663
3.019,-8.588,-2.336,6.187
3.038,-8.592,-2.130,6.125
3.058,-8.260,-1.936,5.701
3.077,-7.922,-1.749,5.184
3.096,-7.477,-1.807,4.964
3.116,-7.489,-1.843,5.062
3.135,-8.003,-1.843,5.038
3.154,-8.592,-1.848,5.390
3.174,-8.655,-2.056,5.785
3.193,-8.511,-2.145,5.371
3.212,-8.427,-2.056,4.652
3.232,-8.487,-1.960,4.284
3.251,-8.669,-1.771,4.427
3.270,-8.631,-1.699,4.568
3.290,-8.140,-1.687,4.568
3.309,-7.819,-1.714,4.288
3.328,-8.006,-1.747,4.044
3.348,-8.568,-1.805,4.178
3.367,-8.987,-1.965,4.889
3.387,-8.923,-2.008,5.435
3.406,-8.643,-2.032,5.481
3.425,-8.315,-1.876,5.265
3.445,-8.054,-1.692,4.748
3.464,-7.975,-1.534,4.767
3.483,-8.085,-1.606,5.054
3.503,-8.118,-1.675,4.937
3.522,-8.260,-1.898,4.841
3.541,-8.286,-2.063,5.174
3.561,-8.521,-2.166,5.222
3.580,-8.937,-2.111,4.906
3.599,-8.913,-1.970,4.403
3.619,-8.918,-1.931,4.396
3.638,-8.846,-1.891,4.245
3.657,-8.470,-1.831,4.183
3.677,-8.176,-1.826,4.463
3.696,-8.516,-1.651,4.480
3.716,-8.473,-1.635,4.501
3.735,-8.078,-1.680,4.865
3.754,-8.013,-1.881,5.050
3.774,-8.449,-1.884,5.397
3.793,-8.765,-1.986,5.296
3.812,-8.856,-1.912,4.813
3.832,-8.652,-1.896,4.482
3.851,-8.377,-1.939,4.705
3.870,-8.269,-1.869,4.856
3.890,-8.362,-1.862,4.846
3.909,-8.463,-1.843,4.964
3.928,-8.353,-1.881,5.088
3.948,-8.382,-1.845,4.995
3.967,-8.394,-1.817,4.743
3.987,-8.374,-1.812,4.566
4.006,-8.394,-1.860,4.750
4.025,-8.279,-1.931,5.040
4.045,-8.200,-1.955,5.148
4.064,-8.327,-1.862,5.126
4.083,-8.441,-1.845,5.057
4.103,-8.465,-1.884,5.124
4.122,-8.473,-1.907,5.016
4.141,-8.293,-1.922,4.827
4.161,-8.090,-1.931,4.887
4.180,-8.154,-1.881,5.265
4.199,-8.353,-1.828,5.349
4.219,-8.535,-1.826,5.093
4.238,-8.475,-1.905,4.750
4.257,-8.334,-1.960,4.691
4.277,-8.152,-1.922,4.942
4.296,-8.157,-1.884,5.351
4.316,-8.324,-1.845,5.335
4.335,-8.461,-1.826,4.944
4.354,-8.286,-1.876,4.791
4.374,-8.257,-1.896,4.937
4.393,-8.283,-1.843,5.066
4.412,-8.257,-1.884,4.978
4.432,-8.176,-1.876,5.148
4.451,-8.286,-1.915,5.251
4.470,-8.513,-1.860,5.208
4.490,-8.310,-1.862,5.014
4.509,-8.130,-1.862,4.777
4.528,-8.130,-1.812,4.884
4.548,-8.116,-1.903,5.174
4.567,-8.379,-1.907,5.133
4.587,-8.568,-1.953,4.875
4.606,-8.621,-1.924,4.746
4.625,-8.384,-1.886,5.023
4.645,-8.094,-1.903,5.368
4.664,-8.228,-1.836,5.208
4.683,-8.135,-1.917,4.973
4.703,-8.281,-1.915,4.971
4.722,-8.441,-1.857,4.808
4.741,-8.391,-1.927,4.851
4.761,-8.506,-1.903,5.100
4.780,-8.451,-1.857,4.971
4.799,-8.255,-1.852,4.762
4.819,-8.039,-1.955,5.136
4.838,-8.185,-1.893,5.438
4.857,-8.324,-1.898,4.952
4.877,-8.501,-1.855,4.729
4.896,-8.362,-1.936,5.031
4.916,-8.267,-1.972,5.208
4.935,-8.374,-1.917,4.973
4.954,-8.384,-1.884,4.794
4.974,-8.300,-1.879,5.057
4.993,-8.154,-1.874,5.162
5.012,-8.173,-1.948,5.045
5.032,-8.358,-1.872,5.205
5.051,-8.391,-1.905,5.083
5.070,-8.401,-1.919,4.846
5.090,-8.260,-1.970,4.834
5.109,-8.255,-1.929,5.327
5.128,-8.262,-1.874,5.122
5.148,-8.255,-1.824,4.736
5.167,-8.192,-1.881,4.992
5.187,-8.276,-1.979,5.265
5.206,-8.549,-1.915,5.110
5.225,-8.477,-1.915,4.796
5.245,-8.283,-1.919,4.822
5.264,-8.312,-1.915,5.043
5.283,-8.195,-1.927,5.124
5.303,-8.192,-1.896,5.095
5.322,-8.274,-1.912,4.954
5.341,-8.334,-1.888,5.016
5.361,-8.348,-1.893,5.026
5.380,-8.358,-1.862,5.086
5.399,-8.312,-1.900,5.054
5.419,-8.233,-1.931,4.956
5.438,-8.276,-1.927,4.964
5.457,-8.351,-1.924,5.059
5.477,-8.386,-1.922,5.035
5.496,-8.351,-1.941,4.995
5.516,-8.329,-1.927,5.038
5.535,-8.264,-1.931,5.069
5.554,-8.264,-1.888,5.045
5.574,-8.343,-1.893,4.956
5.593,-8.362,-1.917,4.956
5.612,-8.274,-1.979,4.952
5.632,-8.300,-1.900,5.043
5.651,-8.298,-1.881,4.995
5.670,-8.197,-1.879,4.985
5.690,-8.197,-1.843,5.148
5.709,-8.190,-1.946,5.043
5.728,-8.403,-1.982,4.992
5.748,-8.456,-1.982,5.246
5.767,-8.408,-1.996,5.172
5.786,-8.312,-1.931,4.896
5.806,-8.137,-1.867,4.880
5.825,-8.190,-1.910,5.052
5.845,-8.291,-1.862,5.299
5.864,-8.243,-1.917,5.095
5.883,-8.200,-1.927,4.875
5.903,-8.209,-1.898,4.935
5.922,-8.300,-1.963,4.889
5.941,-8.358,-2.013,4.990
5.961,-8.343,-1.979,5.169
5.980,-8.348,-1.951,5.239
5.999,-8.386,-1.939,5.215
6.019,-8.343,-1.936,5.090
6.038,-8.140,-1.963,5.057
6.057,-8.087,-1.953,5.062
6.077,-8.161,-1.970,5.026
6.096,-8.403,-1.946,5.100
6.116,-8.456,-1.975,5.222
6.135,-8.341,-1.986,4.966
6.154,-8.166,-1.970,4.861
6.174,-8.264,-1.970,4.980
6.193,-8.523,-1.929,5.117
6.212,-8.351,-1.967,5.040
6.232,-8.080,-1.963,4.911
6.251,-8.092,-1.915,5.114
6.270,-8.283,-1.910,5.090
6.290,-8.339,-1.924,4.916
6.309,-8.374,-1.917,4.954
6.328,-8.334,-2.013,5.131
6.348,-8.453,-2.001,5.035
6.367,-8.446,-1.975,4.985
6.386,-8.298,-1.931,5.105
6.406,-8.123,-1.903,5.203
6.425,-8.181,-1.857,5.155
6.445,-8.202,-1.886,4.980
6.464,-8.269,-1.903,4.964
6.483,-8.224,-1.941,5.016
6.503,-8.183,-1.946,4.930
6.522,-8.391,-1.936,4.853
6.541,-8.394,-1.941,5.050
6.561,-8.401,-1.915,5.337
6.580,-8.264,-1.931,5.155
6.599,-8.195,-1.905,4.861
6.619,-8.238,-1.900,4.937
6.638,-8.202,-1.948,5.076
6.657,-8.250,-1.975,5.050
6.677,-8.305,-1.977,5.074
6.696,-8.391,-1.977,5.129
6.716,-8.430,-1.977,5.215
6.735,-8.398,-1.984,5.090
6.754,-8.281,-1.939,4.947
6.774,-8.181,-1.874,4.964
6.793,-8.106,-1.869,4.985
6.812,-8.188,-1.855,4.930
6.832,-8.394,-1.879,4.995
6.851,-8.362,-1.970,5.124
6.870,-8.334,-2.008,5.133
6.890,-8.305,-1.951,5.110
6.909,-8.288,-1.884,5.088
6.928,-8.269,-1.850,5.026
6.948,-8.128,-1.888,4.968
6.967,-8.142,-1.927,4.995
6.987,-8.305,-1.967,5.071
7.006,-8.468,-1.943,5.193
7.025,-8.389,-1.986,5.201
7.045,-8.319,-1.929,5.165
7.064,-8.214,-1.891,4.954
7.083,-8.157,-1.898,4.870
7.103,-8.188,-1.912,5.004
7.122,-8.324,-1.986,5.095
7.141,-8.327,-2.010,5.179
7.161,-8.279,-1.963,5.196
7.180,-8.427,-1.860,5.071
7.199,-8.377,-1.843,4.978
7.219,-8.111,-1.917,4.916
7.238,-8.145,-1.951,4.961
7.258,-8.264,-1.922,5.100
7.277,-8.339,-1.924,5.102
7.296,-8.291,-1.939,5.129
7.316,-8.293,-1.975,5.124
7.335,-8.351,-1.931,5.122
7.354,-8.291,-1.912,4.971
7.374,-8.238,-1.905,4.918
7.393,-8.274,-1.898,5.124
7.412,-8.233,-1.970,5.050
7.432,-8.312,-1.927,4.978
7.451,-8.269,-1.922,5.186
7.470,-8.303,-1.903,5.162
7.490,-8.274,-1.946,4.896
7.509,-8.260,-1.953,4.949
7.528,-8.276,-1.929,5.157
7.548,-8.331,-1.917,5.019
7.567,-8.317,-1.910,4.956
7.587,-8.214,-1.989,5.129
7.606,-8.274,-1.929,5.203
7.625,-8.341,-1.931,5.004
7.645,-8.291,-1.936,5.014
7.664,-8.336,-1.922,5.150
7.683,-8.295,-1.896,5.043
7.703,-8.209,-1.903,4.968
7.722,-8.140,-1.934,5.122
7.741,-8.272,-1.910,5.083
7.761,-8.341,-1.931,4.944
7.780,-8.257,-1.970,5.023
7.799,-8.279,-1.934,5.119
7.819,-8.382,-1.850,5.114
7.838,-8.288,-1.874,4.999
7.858,-8.226,-1.948,5.007
7.877,-8.236,-2.020,5.059
7.896,-8.396,-1.989,5.181
7.916,-8.334,-1.924,5.208
7.935,-8.176,-1.912,5.021
7.954,-8.169,-1.903,4.978
7.974,-8.276,-1.943,4.987
7.993,-8.343,-1.951,5.086
8.012,-8.317,-1.939,5.014
8.032,-8.322,-1.888,5.028
8.051,-8.212,-1.963,5.179
8.070,-8.231,-1.941,5.256
8.090,-8.272,-1.862,5.126
8.109,-8.324,-1.833,4.901
8.129,-8.250,-1.905,4.896
8.148,-8.240,-1.953,5.054
8.167,-8.283,-1.941,5.052
8.187,-8.281,-1.907,5.112
8.206,-8.262,-1.924,5.122
8.225,-8.279,-1.965,5.124
8.245,-8.295,-2.001,5.136
8.264,-8.353,-1.948,5.066
8.283,-8.307,-1.915,4.954
8.303,-8.204,-1.891,4.999
8.322,-8.145,-1.886,5.074
8.341,-8.176,-1.941,4.999
8.361,-8.310,-1.970,5.143
8.380,-8.353,-2.025,5.198
8.400,-8.382,-1.982,5.086
8.419,-8.327,-1.898,5.064
8.438,-8.228,-1.862,5.081
8.458,-8.125,-1.896,5.078
8.477,-8.176,-1.888,5.050
8.496,-8.286,-1.948,5.081
8.516,-8.329,-1.986,5.086
8.535,-8.341,-1.953,5.011
8.553,-8.322,-1.888,5.054
8.574,-8.240,-1.860,5.066
8.593,-8.142,-1.934,5.059
8.612,-8.228,-1.975,5.019
8.632,-8.346,-1.991,5.131
8.651,-8.312,-1.975,5.222
8.671,-8.293,-1.970,5.076
8.690,-8.238,-1.941,5.043
8.709,-8.164,-1.972,5.043
8.729,-8.272,-1.948,5.102
8.748,-8.367,-1.924,5.076
