label,timestamp,x,y,z
falling_right_pocket,0.000,-10.255,-1.656,0.865
falling_right_pocket,0.019,-7.621,-1.812,1.935
falling_right_pocket,0.039,-7.830,-2.485,1.359
falling_right_pocket,0.058,-9.795,-3.234,0.389
falling_right_pocket,0.078,-10.659,-3.706,1.009
falling_right_pocket,0.098,-9.688,-2.626,2.357
falling_right_pocket,0.117,-8.921,-1.257,2.587
falling_right_pocket,0.137,-8.804,-0.172,1.313
falling_right_pocket,0.156,-9.080,0.328,-0.131
falling_right_pocket,0.176,-9.206,-0.158,-0.494
falling_right_pocket,0.196,-9.096,-1.046,0.609
falling_right_pocket,0.215,-9.436,-1.060,1.442
falling_right_pocket,0.235,-9.690,-1.314,1.402
falling_right_pocket,0.254,-10.741,-0.294,0.214
falling_right_pocket,0.274,-10.799,1.030,-0.164
falling_right_pocket,0.294,-9.441,0.927,0.547
falling_right_pocket,0.313,-8.687,-0.186,0.422
falling_right_pocket,0.333,-8.989,-1.019,-0.485
falling_right_pocket,0.352,-10.418,-1.405,-1.126
falling_right_pocket,0.372,-11.299,-1.271,-0.842
falling_right_pocket,0.392,-10.700,-0.732,0.288
falling_right_pocket,0.411,-10.054,-0.375,0.825
falling_right_pocket,0.431,-9.707,-0.421,0.674
falling_right_pocket,0.450,-9.367,-0.612,0.365
falling_right_pocket,0.470,-9.108,-0.936,0.310
falling_right_pocket,0.490,-8.854,-1.402,0.643
falling_right_pocket,0.509,-8.864,-1.764,0.920
falling_right_pocket,0.529,-9.216,-1.948,0.743
falling_right_pocket,0.549,-9.726,-2.080,0.252
falling_right_pocket,0.568,-10.145,-2.082,0.109
falling_right_pocket,0.588,-10.454,-1.884,0.231
falling_right_pocket,0.607,-10.533,-1.740,0.528
falling_right_pocket,0.627,-10.372,-1.544,0.791
falling_right_pocket,0.647,-10.281,-1.450,0.688
falling_right_pocket,0.666,-9.948,-1.412,0.346
falling_right_pocket,0.686,-9.326,-1.453,0.193
falling_right_pocket,0.705,-8.866,-1.520,0.240
falling_right_pocket,0.725,-8.704,-1.592,0.441
falling_right_pocket,0.745,-8.864,-1.577,0.691
falling_right_pocket,0.764,-9.223,-1.642,0.887
falling_right_pocket,0.784,-9.618,-1.857,0.987
falling_right_pocket,0.803,-9.877,-1.843,1.165
falling_right_pocket,0.823,-9.936,-1.458,1.464
falling_right_pocket,0.843,-9.817,-0.897,1.780
falling_right_pocket,0.862,-9.637,-0.720,1.897
falling_right_pocket,0.882,-9.393,-1.012,1.651
falling_right_pocket,0.901,-9.029,-1.184,1.308
falling_right_pocket,0.921,-8.670,-1.283,1.210
falling_right_pocket,0.941,-8.663,-1.223,1.234
falling_right_pocket,0.960,-8.802,-1.199,1.129
falling_right_pocket,0.980,-9.025,-1.120,1.050
falling_right_pocket,1.000,-9.182,-1.153,1.047
falling_right_pocket,1.019,-8.007,-0.170,1.067
falling_right_pocket,1.039,-9.096,0.554,1.540
falling_right_pocket,1.058,-10.937,-0.191,2.383
falling_right_pocket,1.078,-10.487,-0.586,2.963
falling_right_pocket,1.098,-9.374,-0.826,2.979
falling_right_pocket,1.117,-9.309,-0.730,1.993
falling_right_pocket,1.137,-8.986,-0.826,1.423
falling_right_pocket,1.156,-8.534,-1.347,1.675
falling_right_pocket,1.176,-8.548,-1.292,1.756
falling_right_pocket,1.196,-9.111,-1.158,1.449
falling_right_pocket,1.215,-9.702,-1.517,1.117
falling_right_pocket,1.235,-9.810,-1.987,0.794
falling_right_pocket,1.254,-9.714,-2.384,0.564
falling_right_pocket,1.274,-9.702,-2.281,0.671
falling_right_pocket,1.294,-9.776,-1.465,0.947
falling_right_pocket,1.313,-9.999,-1.283,1.332
falling_right_pocket,1.333,-10.059,-1.659,1.512
falling_right_pocket,1.352,-9.881,-1.515,1.244
falling_right_pocket,1.372,-9.719,-1.371,0.758
falling_right_pocket,1.392,-9.491,-1.606,0.126
falling_right_pocket,1.411,-9.422,-1.608,0.085
falling_right_pocket,1.431,-9.645,-1.434,0.652
falling_right_pocket,1.451,-9.936,-1.503,1.088
falling_right_pocket,1.470,-10.167,-1.673,1.138
falling_right_pocket,1.490,-10.370,-1.498,1.129
falling_right_pocket,1.509,-10.296,-1.347,1.014
falling_right_pocket,1.529,-10.162,-1.141,0.607
falling_right_pocket,1.549,-9.618,-0.840,-0.375
falling_right_pocket,1.568,-9.254,-0.988,-0.897
falling_right_pocket,1.588,-9.010,-1.237,-0.511
falling_right_pocket,1.607,-9.348,-1.257,0.506
falling_right_pocket,1.627,-9.556,-0.890,1.543
falling_right_pocket,1.647,-9.590,-1.038,2.271
falling_right_pocket,1.666,-9.869,-1.146,2.002
falling_right_pocket,1.686,-10.056,-0.909,1.256
falling_right_pocket,1.705,-9.728,-1.120,0.829
falling_right_pocket,1.725,-9.683,-1.436,1.380
falling_right_pocket,1.745,-9.642,0.149,2.551
falling_right_pocket,1.764,-8.761,-0.222,2.920
falling_right_pocket,1.784,-8.503,-1.920,3.070
falling_right_pocket,1.803,-8.550,-2.058,3.549
falling_right_pocket,1.823,-8.313,-2.011,4.428
falling_right_pocket,1.843,-8.397,-2.317,5.428
falling_right_pocket,1.862,-8.962,-2.320,5.912
falling_right_pocket,1.882,-9.429,-2.444,5.984
falling_right_pocket,1.901,-9.125,-2.305,5.488
falling_right_pocket,1.921,-8.905,-2.413,5.713
falling_right_pocket,1.941,-8.699,-2.212,5.843
falling_right_pocket,1.960,-8.349,-2.008,5.582
falling_right_pocket,1.980,-8.136,-2.149,6.855
falling_right_pocket,2.000,-8.687,-1.831,7.715
falling_right_pocket,2.019,-8.419,-0.720,6.784
falling_right_pocket,2.039,-7.119,1.765,5.678
falling_right_pocket,2.058,-6.472,1.277,5.886
falling_right_pocket,2.078,-6.786,-2.286,4.401
falling_right_pocket,2.098,-6.870,-2.583,4.341
falling_right_pocket,2.117,-6.558,-2.662,7.102
falling_right_pocket,2.137,-4.480,-2.168,10.066
falling_right_pocket,2.156,-3.987,-2.671,12.666
falling_right_pocket,2.176,-1.988,-2.324,11.548
falling_right_pocket,2.196,-0.389,-1.728,10.549
