timestamp,x,y,z
0.000,-4.912,-8.082,-0.890
0.019,-4.975,-8.135,-0.083
0.038,-5.499,-7.946,-0.485
0.058,-5.226,-8.346,-0.767
0.077,-5.157,-8.303,-0.533
0.097,-4.852,-8.207,-0.456
0.116,-4.829,-8.245,-0.732
0.135,-4.982,-8.255,-0.667
0.155,-4.972,-8.135,-0.578
0.174,-4.817,-8.116,-0.693
0.193,-4.836,-8.173,-0.533
0.213,-5.015,-8.379,-0.396
0.232,-5.169,-8.413,-0.511
0.251,-5.121,-8.260,-0.449
0.271,-5.049,-8.171,-0.485
0.290,-5.022,-8.233,-0.444
0.309,-4.984,-8.166,-0.437
0.329,-4.920,-8.118,-0.437
0.348,-4.824,-8.288,-0.552
0.368,-4.891,-8.221,-0.444
0.387,-5.015,-8.166,-0.336
0.406,-5.099,-8.236,-0.427
0.426,-5.018,-8.195,-0.341
0.445,-4.970,-8.240,-0.248
0.464,-4.994,-8.221,-0.207
0.484,-5.025,-8.130,-0.262
0.503,-4.955,-8.073,-0.324
0.522,-4.927,-7.987,-0.284
0.542,-4.903,-8.056,-0.341
0.561,-4.991,-8.099,-0.514
0.580,-5.006,-8.090,-0.542
0.600,-4.917,-7.939,-0.557
0.619,-4.785,-7.718,-0.437
0.638,-4.931,-7.860,-0.171
0.658,-4.908,-8.015,-0.190
0.677,-4.876,-8.075,-0.533
0.697,-4.809,-8.034,-0.571
0.716,-4.740,-8.171,-0.523
0.735,-4.769,-8.123,-0.363
0.755,-4.709,-7.912,-0.320
0.774,-4.465,-7.788,-0.777
0.793,-4.278,-7.627,-1.076
0.813,-4.038,-7.503,-1.555
0.832,-3.900,-7.184,-1.423
0.851,-3.876,-6.684,-1.316
0.871,-3.550,-6.287,-1.249
0.890,-2.971,-5.963,-1.644
0.909,-2.427,-5.288,-2.245
0.929,-1.919,-4.103,-2.683
0.948,-1.481,-2.683,-1.579
0.968,-1.069,-1.429,0.457
0.987,-0.825,-0.629,1.044
1.006,-0.624,-0.725,-0.779
1.026,-1.402,-1.663,-2.956
1.045,-2.813,-2.963,-1.692
1.064,-5.154,-4.012,1.097
1.084,-6.538,-5.554,1.568
1.103,-5.446,-7.137,-0.293
1.122,-4.388,-6.897,-3.198
1.142,-3.753,-5.372,-3.490
1.161,-2.142,-4.410,-1.953
1.180,-1.579,-4.692,-3.358
1.200,-3.615,-5.741,-3.590
1.219,-5.082,-6.605,-2.448
1.238,-4.467,-7.019,-4.464
1.258,-3.746,-6.277,-5.115
1.277,-3.753,-5.415,-4.254
1.297,-4.970,-4.919,-6.047
1.316,-9.473,-3.706,-2.328
1.335,-15.565,-2.487,0.374
1.355,-17.501,-1.055,0.946
1.374,-12.610,0.802,-0.849
1.393,-21.452,-0.911,3.525
1.413,-68.090,-7.668,-8.259
1.432,-55.645,7.815,-26.683
1.451,7.422,-12.919,16.241
1.471,8.995,-16.482,5.476
1.490,-2.822,-1.026,10.691
1.509,-18.387,12.242,2.646
1.529,-14.765,9.759,-3.128
1.548,-2.092,0.869,2.586
1.568,-0.174,-2.726,5.143
1.587,-7.304,0.761,7.841
1.606,-11.279,3.687,6.675
1.626,-9.153,5.344,4.896
1.645,-4.773,7.875,6.321
1.664,-3.813,10.197,9.278
1.684,-5.315,8.581,8.627
1.703,-7.958,6.986,6.910
1.722,-9.160,6.270,5.383
1.742,-7.917,5.437,3.716
1.761,-6.390,6.342,2.727
1.780,-4.522,8.047,2.500
1.800,-4.539,8.820,4.573
1.819,-6.746,7.238,5.019
1.838,-7.965,3.730,3.750
1.858,-6.423,3.797,2.351
1.877,-3.615,6.091,1.362
1.897,-3.773,8.013,3.110
1.916,-6.323,7.345,4.542
1.935,-8.288,5.018,4.298
1.955,-7.867,5.734,3.259
1.974,-5.535,8.001,2.837
1.993,-5.678,8.385,3.671
2.013,-8.882,7.166,3.821
2.032,-10.151,5.363,4.391
2.051,-8.080,4.422,4.635
2.071,-6.426,5.971,2.502
2.090,-6.093,6.704,2.162
2.109,-8.477,6.136,2.682
2.129,-10.771,4.503,2.938
2.148,-10.158,3.500,3.481
2.167,-7.572,3.996,3.556
2.187,-5.961,5.255,3.623
2.206,-8.092,6.665,2.976
2.226,-10.572,6.064,2.658
2.245,-10.235,4.159,3.630
2.264,-8.255,3.874,3.924
2.284,-6.253,4.999,3.323
2.303,-6.121,5.629,3.668
2.322,-8.698,5.356,3.994
2.342,-10.419,4.240,3.984
2.361,-9.888,3.823,4.133
2.380,-7.905,4.520,3.774
2.400,-6.382,4.958,3.862
2.419,-7.103,4.872,4.626
2.438,-8.276,4.202,5.090
2.458,-9.335,4.046,5.043
2.476,-8.497,4.491,5.038
2.496,-5.552,5.042,4.626
2.516,-5.142,5.789,4.616
2.535,-7.055,5.152,5.792
2.555,-8.003,3.759,5.904
2.574,-7.498,3.347,5.236
2.593,-6.756,4.099,5.167
2.613,-6.308,4.511,5.780
2.632,-6.605,4.259,5.787
2.651,-7.299,3.582,5.545
2.671,-7.453,3.323,5.663
2.690,-7.053,3.799,6.022
2.709,-6.380,4.350,5.974
2.729,-6.186,4.714,6.141
2.748,-6.335,4.728,6.141
2.767,-6.600,4.618,5.904
2.787,-6.782,4.793,5.773
2.806,-6.732,5.052,5.579
2.826,-6.646,5.255,5.529
2.845,-6.631,5.188,5.476
2.864,-6.797,4.980,5.466
2.884,-7.041,4.693,5.878
2.903,-7.108,4.429,5.890
2.922,-7.122,4.321,5.787
2.942,-7.000,4.314,5.632
2.961,-6.806,4.324,5.655
2.980,-6.715,4.424,5.825
3.000,-6.737,4.537,5.907
3.019,-6.782,4.611,5.938
3.038,-6.737,4.606,6.010
3.058,-6.631,4.587,5.974
3.077,-6.624,4.649,5.919
3.097,-6.660,4.709,5.897
3.116,-6.792,4.683,5.818
3.135,-6.924,4.527,5.871
3.155,-6.646,4.496,5.806
3.174,-6.390,4.767,5.871
3.193,-6.586,4.712,5.885
3.213,-6.873,4.412,5.919
3.232,-6.959,4.293,5.828
3.251,-6.861,4.501,5.799
3.271,-6.725,4.657,5.895
3.290,-6.799,4.609,5.773
3.309,-6.935,4.570,5.730
3.329,-6.912,4.597,5.782
3.348,-6.854,4.659,5.770
3.367,-6.921,4.685,5.660
3.387,-7.117,4.592,5.517
3.406,-7.103,4.532,5.591
3.426,-6.789,4.626,5.900
3.445,-6.536,4.760,5.988
3.464,-6.572,4.683,5.825
