timestamp_ms,ax_g,ay_g,az_g,label
1824,0.3095,-0.3851,0.4871,0
1834,0.2826,-0.3534,0.4881,0
1844,0.2819,-0.3173,0.5223,0
1854,0.3268,-0.2699,0.5591,0
1864,0.4137,-0.2255,0.6155,0
1874,0.5303,-0.176,0.6675,0
1884,0.6477,-0.1506,0.7126,0
1894,0.7258,-0.1555,0.7846,0
1904,0.7732,-0.1984,0.8557,0
1914,0.8193,-0.2575,0.8486,0
1924,0.8286,-0.3297,0.8283,0
1934,0.7622,-0.4127,0.8601,0
1944,0.6663,-0.4979,0.9057,0
1954,0.6136,-0.554,0.8832,0
1964,0.607,-0.5809,0.8083,0
1974,0.6028,-0.5867,0.7378,0
1984,0.5938,-0.5855,0.6875,0
1994,0.5701,-0.5623,0.6536,0
2004,0.5338,-0.5338,0.6546,0
2014,0.5115,-0.4884,0.676,0
2024,0.522,-0.4237,0.6731,0
2034,0.5381,-0.3475,0.6812,0
2044,0.5657,-0.2563,0.6572,0
2054,0.5882,-0.1774,0.6153,0
2064,0.5674,-0.1228,0.6138,0
2074,0.5323,-0.1027,0.6197,0
2084,0.5323,-0.1013,0.6033,0
2094,0.5452,-0.1115,0.5892,0
2104,0.5508,-0.1403,0.5962,0
2114,0.5474,-0.196,0.6321,0
2124,0.5628,-0.2485,0.6599,0
2134,0.5977,-0.2946,0.6599,0
2144,0.6389,-0.3302,0.6431,0
2154,0.6687,-0.3563,0.6333,0
2164,0.6699,-0.3795,0.6558,0
2174,0.6436,-0.3966,0.6768,0
2184,0.618,-0.4186,0.6768,0
2194,0.5904,-0.4374,0.6707,0
2204,0.574,-0.4554,0.6594,0
2214,0.5765,-0.462,0.6326,0
2224,0.5687,-0.464,0.6338,0
2234,0.5762,-0.4474,0.6248,0
2244,0.5879,-0.4147,0.6175,0
2254,0.5762,-0.3705,0.6448,0
2264,0.5538,-0.32,0.6704,0
2274,0.5357,-0.2694,0.6712,0
2284,0.5289,-0.2279,0.646,0
2294,0.5272,-0.2143,0.6223,0
2304,0.5154,-0.2275,0.6568,0
2314,0.5152,-0.2582,0.7087,0
2324,0.5606,-0.2782,0.7292,0
2334,0.614,-0.2897,0.7405,0
2344,0.6355,-0.3141,0.7732,0
2354,0.6424,-0.349,0.7922,0
2364,0.6594,-0.3695,0.7866,0
2374,0.6685,-0.3822,0.7846,0
2384,0.6663,-0.3924,0.8027,0
2394,0.6612,-0.3988,0.8232,0
2404,0.6743,-0.3885,0.8203,0
2414,0.6941,-0.379,0.7971,0
